Chrom	Strand	Gene	Transcript	first_exon	last_exon	pos1	pos2
1	+	HSPA6	NM_002155	1	1	161494449	161496380
1	+	HTR6	NM_000871	1	3	19992247	20005861
1	+	IARS2	NM_018060	1	23	220267559	220320977
1	+	IBA57	NM_001010867	1	3	228353518	228363214
1	+	IER5	NM_016545	1	1	181058039	181059022
1	+	IFI16	NM_005531	2	11	158984471	159024691
1	+	IFI44	NM_006417	2	9	79115881	79129496
1	+	IFI44L	NM_006820	2	9	79093601	79107494
1	+	IGFN1	NM_001164586	2	24	201162422	201197527
1	+	IGSF21	NM_032880	1	10	18434623	18704820
1	+	IKBKE	NM_014002	3	22	206646571	206669478
1	+	IL12RB2	NM_001559	2	16	67786052	67861772
1	+	IL19	NM_153758	1	6	206972240	207015967
1	+	IL20	NM_018724	1	5	207039198	207041909
1	+	IL23R	NM_144701	2	11	67633804	67724811
1	+	IL24	NM_001185156	2	7	207071178	207076404
1	+	IL6R	NM_000565	1	10	154378106	154437856
1	+	INADL	NM_176877	2	43	62228565	62626607
1	+	INTS3	NM_023015	1	30	153701111	153745746
1	+	IPO13	NM_014652	1	20	44413273	44433354
1	+	IPO9	NM_018085	1	24	201798338	201845182
1	+	IQCC	NM_001160042	1	5	32671283	32673683
1	+	ISG15	NM_005101	1	2	948954	949858
1	+	ITGA10	NM_003637	1	30	145525066	145542278
1	+	IVL	NM_005547	2	2	152882274	152884031
1	+	KAZN	NM_201628	1	15	14925494	15441131
1	+	KCNAB2	NM_001199862	2	16	6111597	6158634
1	+	KCNC4	NM_004978	1	4	110754122	110774931
1	+	KCNJ9	NM_004983	2	3	160053821	160057607
1	+	KCNK1	NM_002245	1	3	233749918	233807276
1	+	KCNK2	NM_014217	1	7	215256650	215408488
1	+	KCNQ4	NM_004700	1	14	41249766	41304195
1	+	KCTD3	NM_016121	1	18	215741029	215793960
1	+	KDM1A	NM_001009999	1	21	23346090	23409857
1	+	KDM4A	NM_014663	2	22	44118847	44170041
1	+	KHDRBS1	NM_006559	1	9	32479597	32508225
1	+	KIAA0754	NM_015038	1	1	39875938	39880221
1	+	KIAA1107	NM_015237	2	9	92633414	92649887
1	+	KIAA1324	NM_020775	1	22	109656806	109745634
1	+	KIAA1383	NM_019090	1	1	232940770	232943913
1	+	KIAA1522	NM_020888	1	7	33207556	33238488
1	+	KIAA1614	NM_020950	1	9	180882380	180914724
1	+	KIAA1804	NM_032435	1	10	233463775	233518457
1	+	KIF1B	NM_015074	2	47	10292387	10436645
1	+	KIF26B	NM_018012	1	15	245318727	245865908
1	+	KIF2C	NM_006845	1	21	45205605	45232851
1	+	KIRREL	NM_018240	1	15	157963467	158064910
1	+	KLF17	NM_173484	1	3	44584580	44596428
1	+	KLHDC7A	NM_152375	1	1	18807476	18809809
1	+	KLHDC9	NM_152366	1	4	161068326	161070014
1	+	KLHL17	NM_198317	1	12	896074	900571
1	+	KLHL20	NM_014458	2	12	173685183	173754385
1	+	KMO	NM_003679	1	15	241695745	241755455
1	+	KPNA6	NM_012316	1	14	32573732	32636495
1	+	KPRP	NM_001025231	2	2	152732065	152733804
1	+	L1TD1	NM_019079	3	4	62672301	62677044
1	+	LAMC1	NM_002293	1	28	182992852	183111925
1	+	LAMC2	NM_005562	1	23	183155488	183212535
1	+	LAMTOR2	NM_014017	1	4	156024681	156028162
1	+	LAX1	NM_017773	1	5	203734694	203743809
1	+	LCE1A	NM_178348	1	1	152799949	152800281
1	+	LCE1B	NM_178349	1	1	152784923	152785279
1	+	LCE1D	NM_178352	2	2	152770271	152770615
1	+	LCE1E	NM_178353	2	2	152759776	152760132
1	+	LCE1F	NM_178354	1	1	152748848	152749204
1	+	LCE2A	NM_178428	2	2	152671378	152671698
1	+	LCE2B	NM_014357	2	2	152659320	152659652
1	+	LCE2C	NM_178429	2	2	152648492	152648824
1	+	LCE2D	NM_178430	2	2	152636582	152636914
1	+	LCE3B	NM_178433	1	1	152586287	152586574
1	+	LCE3C	NM_178434	1	1	152573208	152573492
1	+	LCE4A	NM_178356	1	1	152681552	152681851
1	+	LCE5A	NM_178438	2	2	152484011	152484367
1	+	LCE6A	NM_001128600	2	2	152815997	152816239
1	+	LCK	NM_001042771	2	13	32739931	32751317
1	+	LDLRAD2	NM_001013693	1	5	22138945	22148708
1	+	LDLRAP1	NM_015627	1	9	25870190	25893483
1	+	LELP1	NM_001010857	2	2	153177184	153177480
1	+	LENEP	NM_018655	1	1	154966084	154966269
1	+	LEPR	NM_002303	3	20	66031249	66102698
1	+	LEPROT	NM_017526	1	4	65886408	65897602
1	+	LGALS8	NM_006499	3	12	236689371	236711461
1	+	LGR6	NM_001017403	1	18	202163118	202288335
1	+	LHX4	NM_033343	1	6	180199665	180243714
1	+	LHX8	NM_001001933	2	10	75596400	75626580
1	+	LHX9	NM_020204	1	5	197886954	197898389
1	+	LIN28A	NM_024674	1	4	26737383	26752949
1	+	LIX1L	NM_153713	1	6	145477159	145498778
1	+	LMNA	NM_170707	1	12	156084710	156108897
1	+	LMO4	NM_006769	2	5	87797699	87810479
1	+	LOC100129924	NM_001242750	2	7	43255104	43263896
1	+	LOC730159	NM_001195190	1	2	173604661	173606175
1	+	LOR	NM_000427	2	2	153233426	153234364
1	+	LPHN2	NM_012302	2	20	82302670	82456829
1	+	LPPR4	NM_014839	1	7	99730006	99772566
1	+	LRIG2	NM_014813	1	18	113616029	113666723
1	+	LRRC42	NM_052940	2	8	54417673	54433612
1	+	LRRC52	NM_001005214	1	2	165513534	165533061
1	+	LRRC7	NM_020794	1	25	70225888	70587570
1	+	LRRC71	NM_144702	1	15	156890596	156902761
1	+	LRRC8B	NM_001134476	7	8	90048210	90058602
1	+	LRRC8C	NM_032270	2	3	90152033	90180541
1	+	LRRC8D	NM_018103	3	3	90398628	90401204
1	+	LY9	NM_002348	1	10	160765978	160797606
1	+	LYPLA2	NM_007260	2	10	24119173	24121222
1	+	LYPLAL1	NM_138794	1	5	219347233	219385070
1	+	MAB21L3	NM_152367	2	7	116655237	116675986
1	+	MACF1	NM_012090	3	95	39549891	39951466
1	+	MAEL	NM_032858	1	12	166958590	166991092
1	+	MAGI3	NM_001142782	1	21	113933656	114226636
1	+	MAN1A2	NM_006699	1	13	117910806	118065579
1	+	MAN1C1	NM_020379	1	12	25944289	26110280
1	+	MANEAL	NM_001113482	1	4	38259855	38265875
1	+	MAP7D1	NM_018067	1	17	36622019	36645859
1	+	MAPKAPK2	NM_032960	1	10	206858575	206906063
1	+	MARC1	NM_022746	1	7	220960287	220986760
1	+	MARC2	NM_017898	1	7	220921874	220955243
1	+	MARK1	NM_018650	1	18	220702165	220835508
