stable_id	display_label
ENST00000336455	NM_032850.4
ENST00000299173	NM_001258420.1
ENST00000217109	NM_001324.2
ENST00000217109	NM_001033521.1
ENST00000299295	NM_001204175.1
ENST00000299295	NM_024944.2
ENST00000543733	NM_001204174.1
ENST00000452950	NM_001033522.1
ENST00000372643	NM_080753.2
ENST00000324384	NM_147197.2
ENST00000330523	NM_172006.2
ENST00000335769	NM_172131.2
ENST00000305479	NM_172005.1
ENST00000279058	NM_178455.1
ENST00000284885	NM_002772.2
ENST00000313077	NM_014608.2
ENST00000560848	NM_001287810.1
ENST00000435939	NM_001033028.1
ENST00000243938	NM_080614.1
ENST00000360314	NM_001164116.1
ENST00000434344	NM_001164115.1
ENST00000371336	NM_001164114.1
ENST00000371336	NM_020356.3
ENST00000245121	NM_031303.2
ENST00000299174	NM_017726.7
ENST00000427255	NM_001130143.1
ENST00000380851	NM_001258384.1
ENST00000380851	NM_174855.2
ENST00000400546	NM_004540.3
ENST00000380843	NM_006899.3
ENST00000324750	NM_005913.2
ENST00000299338	NM_152647.2
ENST00000327606	NM_000529.2
ENST00000261893	NM_032857.3
ENST00000413507	NM_171846.2
ENST00000413507	NM_001288585.1
ENST00000365608	NR_046946.1
ENST00000590202	NM_145287.3
ENST00000217131	NM_001336.3
ENST00000355112	NM_000057.2
ENST00000355112	NM_001287246.1
ENST00000352957	NM_017446.3
ENST00000560509	NM_001287247.1
ENST00000307301	NM_080794.3
ENST00000559724	NM_001287248.1
ENST00000023939	NM_016407.3
ENST00000023939	NM_001283036.1
ENST00000395881	NM_001283037.1
ENST00000562057	NM_003710.3
ENST00000562057	NM_181642.2
ENST00000357348	NM_001283035.1
ENST00000217133	NM_030773.3
ENST00000431806	NM_001032367.1
ENST00000267843	NM_002009.3
ENST00000380648	NM_001110514.1
ENST00000591973	NM_001242907.1
ENST00000451265	NM_001100817.1
ENST00000243997	NM_006886.3
ENST00000358970	NM_001137671.1
ENST00000372622	NM_052951.2
ENST00000330964	NM_015920.3
ENST00000330682	NM_145653.3
ENST00000400532	NM_001270408.1
ENST00000480456	NM_001270407.1
ENST00000480456	NM_021219.3
ENST00000332567	NM_016427.2
ENST00000382500	NM_207305.4
ENST00000362511	NR_046945.1
ENST00000321437	NM_016530.2
ENST00000243913	NM_080615.1
ENST00000363397	NR_046936.1
ENST00000356455	NM_007019.2
ENST00000335046	NM_181799.1
ENST00000355937	NM_016045.2
ENST00000243893	NM_181803.1
ENST00000371033	NM_001256403.1
ENST00000352551	NM_181800.1
ENST00000372568	NM_181801.2
ENST00000300605	NM_032124.4
ENST00000405520	NM_181802.1
ENST00000373656	NM_020924.2
ENST00000371328	NM_001012971.3
ENST00000371325	NM_001013646.3
ENST00000403028	NM_001144955.1
ENST00000400090	NM_001003697.1
ENST00000400087	NM_001003696.1
ENST00000400093	NM_001003703.1
ENST00000400093	NM_001685.4
ENST00000400093	NM_001003701.1
ENST00000220507	NM_133639.3
ENST00000380605	NM_001184699.1
ENST00000380605	NM_019609.4
ENST00000251250	NM_020234.5
ENST00000268171	NM_002569.2
ENST00000337451	NM_030922.6
ENST00000398013	NM_001008892.2
ENST00000390930	NR_003045.1
ENST00000539711	NM_001008894.2
ENST00000359727	NM_001184888.1
ENST00000201031	NM_003222.3
ENST00000398014	NM_001008860.2
ENST00000383875	NR_002571.1
ENST00000607313	NR_002572.1
ENST00000371030	NM_178457.2
ENST00000354828	NM_001197297.1
ENST00000220509	NM_020857.2
ENST00000400075	NM_002040.3
ENST00000372555	NM_003279.2
ENST00000256433	NM_016097.4
ENST00000261879	NM_031301.3
ENST00000261879	NM_001145646.1
ENST00000249749	NM_019074.3
ENST00000337938	NM_207034.1
ENST00000311585	NM_207032.1
ENST00000380585	NM_001167670.1
ENST00000395654	NM_207033.1
ENST00000371028	NM_000114.2
ENST00000373647	NM_012197.3
ENST00000603872	NM_001256538.1
ENST00000425639	NM_001278063.1
ENST00000380589	NM_080739.2
ENST00000400404	NM_001037802.1
ENST00000373642	NM_005294.2
ENST00000395863	NM_001719.2
ENST00000358984	NM_001145029.1
ENST00000459229	NR_003704.2
ENST00000363922	NR_002996.2
ENST00000360652	NM_022760.4
ENST00000356872	NM_001271168.1
ENST00000410859	NR_046937.1
ENST00000384285	NR_046941.1
ENST00000262160	NM_005901.5
ENST00000402690	NM_001003652.3
ENST00000356521	NM_018491.3
ENST00000337435	NM_144599.4
ENST00000337435	NM_001142275.1
ENST00000356825	NM_001135937.2
ENST00000382447	NM_001145356.1
ENST00000371263	NM_012444.2
ENST00000345868	NM_198265.1
ENST00000314367	NM_001145355.1
ENST00000328850	NM_002005.3
ENST00000178638	NM_001218.3
ENST00000348403	NM_018387.4
ENST00000414248	NM_001143785.1
ENST00000360998	NM_001171137.1
ENST00000344366	NM_206925.1
ENST00000382387	NM_152569.2
ENST00000284509	NM_024837.3
ENST00000394300	NM_001143783.1
ENST00000444422	NM_001143784.1
ENST00000359926	NM_001199505.1
ENST00000446533	NM_024111.3
ENST00000446533	NM_001142776.1
ENST00000371015	NM_080672.4
ENST00000515944	NR_046942.1
ENST00000355648	NM_001199506.1
ENST00000395636	NM_183244.1
ENST00000361300	NM_183246.1
ENST00000399799	NM_005406.2
ENST00000541461	NM_001281507.1
ENST00000462307	NM_001042633.1
ENST00000384504	NR_002970.1
ENST00000342644	NM_152897.1
ENST00000342644	NM_033421.2
ENST00000342644	NM_001042632.1
ENST00000373631	NM_173689.5
ENST00000395841	NM_003610.3
ENST00000395840	NM_001015885.1
ENST00000380445	NM_022575.2
ENST00000380469	NM_080413.1
ENST00000217455	NM_005469.3
ENST00000267842	NM_003645.3
ENST00000380902	NM_001159629.1
ENST00000400113	NM_006001.2
ENST00000401393	NM_017553.1
ENST00000543500	NM_001190472.1
ENST00000346798	NM_000484.3
ENST00000354192	NM_001136129.2
ENST00000348990	NM_001204303.1
ENST00000348990	NM_201414.2
ENST00000357903	NM_201413.2
ENST00000440126	NM_001136016.3
ENST00000356208	NM_017495.5
ENST00000439274	NM_001136130.2
ENST00000440234	NM_183425.2
ENST00000358918	NM_001204302.1
ENST00000358918	NM_001204301.1
ENST00000448388	NM_001136131.2
ENST00000299340	NM_052954.2
ENST00000373624	NM_020946.1
ENST00000373620	NM_024820.2
ENST00000267845	NM_002112.3
ENST00000424526	NM_001142966.1
ENST00000535628	NM_001039360.2
ENST00000390680	NM_130785.3
ENST00000400103	NM_001141968.1
ENST00000382977	NM_199254.2
ENST00000469391	NM_001190458.1
ENST00000469391	NM_001193536.1
ENST00000284984	NM_006988.3
ENST00000373615	NM_004789.3
ENST00000380324	NM_006537.3
ENST00000432829	NM_203447.3
ENST00000284987	NM_007038.3
ENST00000540797	NM_001256702.1
ENST00000314992	NM_152596.2
ENST00000361479	NM_017520.3
ENST00000458580	NM_001286441.1
ENST00000371001	NM_014258.2
ENST00000303775	NM_013240.4
ENST00000351429	NM_182749.3
ENST00000382303	NM_001256876.1
ENST00000338910	NM_001042414.2
ENST00000382297	NM_001256877.1
ENST00000382297	NM_015158.3
ENST00000382293	NM_153186.4
ENST00000373600	NM_001145001.2
ENST00000314520	NM_005664.3
ENST00000382276	NM_021951.2
ENST00000320246	NM_014397.5
ENST00000540326	NM_001166167.1
ENST00000539416	NM_001166169.1
ENST00000394199	NM_001166171.1
ENST00000545174	NM_001166168.1
ENST00000546191	NM_001166170.1
ENST00000190165	NM_021240.3
ENST00000256413	NM_014772.2
ENST00000360468	NM_006122.2
ENST00000249053	NM_152855.2
ENST00000382998	NM_001142397.1
ENST00000330377	NM_020070.3
ENST00000380877	NM_005254.5
ENST00000380877	NM_016654.4
ENST00000532292	NM_019066.4
ENST00000331837	NM_002487.2
ENST00000382907	NM_001039649.2
ENST00000255152	NM_080752.3
ENST00000382905	NM_001039650.2
ENST00000429662	NM_002041.4
ENST00000337963	NM_001142684.1
ENST00000396464	NM_016655.4
ENST00000329468	NM_018958.2
ENST00000372523	NM_080603.4
ENST00000359031	NM_181427.3
ENST00000382255	NM_001130865.2
ENST00000382255	NM_006557.6
ENST00000372519	NM_080608.3
ENST00000259457	NM_002799.3
ENST00000302441	NM_181872.4
ENST00000372518	NM_001278535.1
ENST00000372518	NM_080749.3
ENST00000334660	NM_007236.4
ENST00000389194	NM_015565.2
ENST00000220514	NM_007280.1
ENST00000334810	NM_001161808.1
ENST00000423479	NM_001269043.1
ENST00000317749	NM_016449.3
ENST00000608263	NM_001269041.1
ENST00000609232	NM_080618.3
ENST00000429804	NM_001269046.1
ENST00000371196	NM_001269042.1
ENST00000371196	NM_001269040.1
ENST00000608440	NM_001269044.1
ENST00000373588	NM_004959.4
ENST00000493196	NM_016940.2
ENST00000358293	NM_001190826.1
ENST00000262158	NM_001190821.1
ENST00000262158	NM_005904.3
ENST00000360816	NM_001190827.1
ENST00000360816	NM_022106.2
ENST00000502686	NM_001269054.1
ENST00000591805	NM_001190822.1
ENST00000433949	NM_001269049.1
ENST00000432255	NM_001269048.1
ENST00000539382	NM_001269050.1
ENST00000608903	NM_001269055.1
ENST00000370996	NM_006242.3
ENST00000422869	NM_001269047.1
ENST00000608425	NM_001269045.1
ENST00000608158	NM_001269052.1
ENST00000481655	NM_001269051.1
ENST00000400100	NM_022807.2
ENST00000400097	NM_022805.2
ENST00000487099	NM_001489.4
ENST00000487099	NM_033334.3
ENST00000487099	NM_001278546.1
ENST00000400098	NM_022806.2
ENST00000400098	NM_022808.2
ENST00000380393	NM_002836.3
ENST00000290691	NM_153615.1
ENST00000216877	NM_080840.2
ENST00000348616	NM_177980.2
ENST00000350849	NM_021810.4
ENST00000356147	NM_080841.2
ENST00000373580	NM_182487.2
ENST00000288815	NM_001282715.1
ENST00000360587	NM_203373.2
ENST00000269214	NM_052911.2
ENST00000373574	NM_001045476.2
ENST00000373574	NM_001276375.1
ENST00000373574	NM_001276374.1
ENST00000364546	NR_002910.2
ENST00000364729	NR_002911.1
ENST00000364642	NR_003017.2
ENST00000363484	NR_003018.2
ENST00000348462	NM_007209.3
ENST00000372484	NM_000308.2
ENST00000372484	NM_001127695.1
ENST00000260359	NM_018454.7
ENST00000260359	NM_001243142.1
ENST00000260359	NM_016359.4
ENST00000260359	NM_001243143.1
ENST00000354880	NM_001167594.1
ENST00000313426	NM_173644.1
ENST00000259477	NM_030978.1
ENST00000399975	NM_001001992.1
ENST00000341976	NM_021916.2
ENST00000399976	NM_006447.2
ENST00000334352	NM_001032410.1
ENST00000450318	NM_001243144.1
ENST00000300413	NM_006938.2
ENST00000248948	NM_013378.2
ENST00000310455	NM_024607.3
ENST00000310455	NM_001201329.1
ENST00000402217	NM_182520.2
ENST00000382874	NM_001190964.1
ENST00000365032	NR_002972.1
ENST00000362396	NR_002986.1
ENST00000360469	NM_001794.3
ENST00000543233	NM_001252339.1
ENST00000543233	NM_001252338.1
ENST00000349721	NM_003070.3
ENST00000373555	NM_002077.3
ENST00000357248	NM_139045.2
ENST00000289119	NM_138340.4
ENST00000382869	NM_001190965.1
ENST00000382869	NM_003453.3
ENST00000382869	NM_197968.2
ENST00000401675	NM_213720.1
ENST00000396444	NM_001128610.1
ENST00000396444	NM_005154.3
ENST00000241125	NM_021954.3
ENST00000425032	NM_001283049.1
ENST00000382848	NM_004004.5
ENST00000443617	NM_003922.3
ENST00000319441	NM_002591.3
ENST00000433963	NM_001128611.1
ENST00000373669	NM_006223.3
ENST00000215743	NM_005940.3
ENST00000423432	NM_001170747.1
ENST00000269445	NM_017653.3
ENST00000241124	NM_006783.4
ENST00000400066	NM_001110220.2
ENST00000400065	NM_001110221.2
ENST00000356192	NM_001110219.2
ENST00000334463	NM_017669.2
ENST00000338327	NM_022804.2
ENST00000252996	NM_003185.3
ENST00000336505	NM_001144877.2
ENST00000394275	NM_001039675.1
ENST00000260361	NM_016013.3
ENST00000373549	NM_173690.4
ENST00000338094	NM_005678.3
ENST00000338094	NM_003097.3
ENST00000457488	NM_014326.3
ENST00000298248	NM_015974.2
ENST00000418476	NM_018671.3
ENST00000579820	NM_001199346.1
ENST00000318240	NM_001035005.3
ENST00000263121	NM_003073.3
ENST00000407422	NM_001007468.1
ENST00000310430	NM_003747.2
ENST00000316084	NM_001007.4
ENST00000245983	NM_001501.1
ENST00000286788	NM_006585.2
ENST00000359987	NM_178331.1
ENST00000359987	NM_178332.1
ENST00000373547	NM_002721.4
ENST00000382100	NM_003383.3
ENST00000542732	NM_001282907.1
ENST00000451402	NM_001123355.1
ENST00000540844	NM_001282909.1
ENST00000415905	NM_001123369.1
ENST00000382099	NM_001018056.1
ENST00000389629	NM_015138.4
ENST00000371173	NM_001160417.1
ENST00000371173	NM_030776.2
ENST00000395822	NM_001160418.1
ENST00000300030	NM_032231.4
ENST00000384344	NR_046495.1
ENST00000380290	NM_001014812.1
ENST00000541799	NM_001160419.2
ENST00000382082	NM_133497.3
ENST00000406855	NM_198440.3
ENST00000406855	NM_001002862.2
ENST00000406855	NM_001135751.1
ENST00000584895	NM_001199355.1
ENST00000380325	NM_030811.3
ENST00000332968	NM_001199356.1
ENST00000261537	NM_020774.3
ENST00000217386	NM_000915.3
ENST00000386745	NR_000028.1
ENST00000386747	NR_000027.1
ENST00000583861	NR_002439.1
ENST00000532404	NM_203494.4
ENST00000380293	NM_000490.4
ENST00000373538	NM_005833.3
ENST00000394125	NM_001174152.1
ENST00000259460	NM_001174153.1
ENST00000247138	NM_005660.1
ENST00000424479	NM_001102559.1
ENST00000376529	NM_001282647.1
ENST00000279068	NM_144703.2
ENST00000376521	NM_001042498.2
ENST00000445167	NM_001032289.1
ENST00000445167	NM_001282648.1
ENST00000422581	NM_032483.3
ENST00000419686	NM_001102560.1
ENST00000413561	NM_001282649.1
ENST00000452555	NM_001282651.1
ENST00000419845	NM_001286623.1
ENST00000324460	NM_005347.4
ENST00000397885	NM_014878.4
ENST00000351808	NM_006531.3
ENST00000341618	NM_001286634.1
ENST00000399935	NM_001286617.1
ENST00000399934	NM_001286618.1
ENST00000319980	NM_175605.3
ENST00000399947	NM_020152.2
ENST00000339024	NM_001286619.1
ENST00000399928	NM_001286620.1
ENST00000341744	NM_020182.4
ENST00000395816	NM_001255976.1
ENST00000317173	NM_012331.3
ENST00000441698	NM_001135670.1
ENST00000347215	NM_199170.2
ENST00000347215	NM_199169.2
ENST00000545939	NM_001286622.1
ENST00000265626	NM_199171.2
ENST00000528246	NM_001199729.1
ENST00000304920	NM_138284.1
ENST00000382490	NM_001135671.1
ENST00000382754	NM_174928.1
ENST00000376509	NM_006875.3
ENST00000579248	NM_001199341.1
ENST00000579248	NM_001199342.1
ENST00000579248	NM_001199344.1
ENST00000581373	NM_001199345.1
ENST00000580261	NM_001035006.2
ENST00000405303	NM_153365.2
ENST00000386307	NR_002433.1
ENST00000583637	NM_001199343.1
ENST00000410433	NR_003695.1
ENST00000391002	NR_003030.1
ENST00000417663	NM_001099673.1
ENST00000417663	NM_001099672.1
ENST00000417663	NM_001099671.1
ENST00000417663	NM_001099670.1
ENST00000371168	NM_178456.2
ENST00000261889	NM_001242933.1
ENST00000261889	NM_003099.4
ENST00000418495	NM_000985.4
ENST00000418495	NM_001199340.1
ENST00000286800	NM_001186.2
ENST00000398356	NM_001024938.2
ENST00000398356	NM_030807.3
ENST00000399921	NM_206866.1
ENST00000370873	NM_002792.3
ENST00000232165	NM_130839.2
ENST00000232165	NM_000462.3
ENST00000561026	NM_148955.3
ENST00000260386	NM_002220.2
ENST00000438097	NM_130838.1
ENST00000382004	NM_134428.1
ENST00000382004	NM_001282116.1
ENST00000313478	NM_017672.4
ENST00000302303	NM_002919.2
ENST00000316185	NM_001024939.2
ENST00000371527	NM_001173488.1
ENST00000304449	NM_017544.3
ENST00000217173	NM_001267584.1
ENST00000217173	NM_014948.3
ENST00000542113	NM_001173487.1
ENST00000348031	NM_199415.2
ENST00000362512	NR_029422.1
ENST00000215754	NM_002415.1
ENST00000438911	NM_138496.1
ENST00000380266	NM_021826.4
ENST00000373619	NM_001144886.1
ENST00000269216	NM_005257.4
ENST00000246139	NM_004143.3
ENST00000220592	NM_012154.3
ENST00000400602	NM_022459.4
ENST00000519980	NM_001164623.1
ENST00000156084	NM_017602.3
ENST00000431381	NM_001144885.1
ENST00000403000	NM_032687.3
ENST00000445983	NM_001144887.1
ENST00000424149	NM_001129888.1
ENST00000391403	NM_172241.2
ENST00000329152	NM_014731.2
ENST00000428668	NM_001136159.1
ENST00000360342	NM_001282533.1
ENST00000290765	NM_001080843.2
ENST00000396743	NM_001136157.1
ENST00000396743	NM_001136158.1
ENST00000215770	NM_001084393.1
ENST00000382592	NM_014572.2
ENST00000328655	NM_198464.3
ENST00000522210	NM_001197020.1
ENST00000355166	NM_206961.3
ENST00000263800	NM_002344.5
ENST00000324333	NM_152629.3
ENST00000398344	NM_001084392.1
ENST00000350608	NM_001355.3
ENST00000453182	NM_001135685.1
ENST00000354488	NM_023935.1
ENST00000381971	NM_001042413.1
ENST00000382533	NM_005870.4
ENST00000382483	NM_178857.5
ENST00000372420	NM_001242921.1
ENST00000327822	NM_001257362.1
ENST00000304519	NM_001040032.1
ENST00000215780	NM_000854.3
ENST00000331758	NM_198935.1
ENST00000372431	NM_006227.3
ENST00000354050	NM_182676.2
ENST00000304501	NM_031439.3
ENST00000420868	NM_001242920.1
ENST00000305626	NM_031296.1
ENST00000400018	NM_001166017.1
ENST00000380113	NM_181493.2
ENST00000380113	NM_033453.3
ENST00000408532	NR_003710.1
ENST00000248935	NM_000853.2
ENST00000389125	NM_175611.2
ENST00000273951	NM_001204306.1
ENST00000273951	NM_000583.3
ENST00000504199	NM_001204307.1
ENST00000399838	NM_001267623.1
ENST00000261292	NM_006033.2
ENST00000399907	NM_000830.3
ENST00000394272	NM_001286451.1
ENST00000330334	NM_198527.2
ENST00000314759	NM_145061.5
ENST00000286808	NM_012131.2
ENST00000244040	NM_020673.2
ENST00000309594	NM_024026.4
ENST00000262352	NM_004170.5
ENST00000325881	NM_024798.2
ENST00000399899	NM_199328.2
ENST00000321764	NM_198584.2
ENST00000340345	NM_001085455.1
ENST00000314787	NM_017884.4
ENST00000416044	NM_001128598.1
ENST00000519088	NM_001284356.1
ENST00000360542	NM_203405.1
ENST00000327155	NM_002894.2
ENST00000382835	NM_001077711.1
ENST00000399722	NM_203291.1
ENST00000334160	NM_181624.1
ENST00000399725	NM_203292.1
ENST00000394258	NM_033544.2
ENST00000394258	NM_001017919.1
ENST00000394105	NM_015635.2
ENST00000399889	NM_181621.3
ENST00000261854	NM_032802.3
ENST00000300026	NM_000942.4
ENST00000355459	NM_181599.2
ENST00000390690	NM_181622.1
ENST00000301332	NM_145754.2
ENST00000297933	NM_001282680.1
ENST00000334068	NM_181600.1
ENST00000312123	NM_001282681.1
ENST00000416569	NM_173683.3
ENST00000274031	NM_030648.2
ENST00000334067	NM_181623.1
ENST00000390689	NM_181607.1
ENST00000334055	NM_181608.1
ENST00000304385	NM_152680.2
ENST00000394104	NM_001282679.1
ENST00000334063	NM_181609.3
ENST00000334058	NM_181610.1
ENST00000334151	NM_181611.1
ENST00000334046	NM_181612.2
ENST00000334849	NM_181614.1
ENST00000317025	NM_023034.1
ENST00000475243	NM_004738.4
ENST00000382830	NM_001164434.1
ENST00000218176	NM_004979.4
ENST00000395802	NM_001195677.1
ENST00000391624	NM_181605.3
ENST00000304337	NM_145720.3
ENST00000382466	NM_153251.3
ENST00000334897	NM_181604.1
ENST00000542645	NM_001286638.1
ENST00000334680	NM_181620.1
ENST00000316985	NM_017778.2
ENST00000329122	NM_181602.1
ENST00000370823	NM_015666.3
ENST00000334664	NM_181615.1
ENST00000304330	NM_015540.2
ENST00000330798	NM_181616.1
ENST00000382826	NM_001128077.1
ENST00000444335	NM_001164435.1
ENST00000333892	NM_181617.1
ENST00000335093	NM_181619.1
ENST00000329621	NM_175857.3
ENST00000475086	NM_001039395.3
ENST00000332378	NM_175858.2
ENST00000356865	NM_024490.3
ENST00000382822	NM_001099219.1
ENST00000380056	NM_032034.3
ENST00000380059	NM_001174090.1
ENST00000383895	NR_002584.1
ENST00000221086	NM_015458.3
ENST00000382374	NM_152726.2
ENST00000281321	NM_004575.2
ENST00000263119	NM_012295.3
ENST00000263119	NM_001201429.1
ENST00000539553	NM_001174089.1
ENST00000398319	NM_001199281.1
ENST00000381883	NM_203453.3
ENST00000451320	NM_001287431.1
ENST00000296513	NM_139243.3
ENST00000371149	NM_153360.1
ENST00000388724	NM_001159285.1
ENST00000405727	NM_014447.2
ENST00000388725	NM_001159295.1
ENST00000382353	NM_002010.2
ENST00000265498	NM_002413.4
ENST00000265498	NM_001204366.1
ENST00000506797	NM_001204368.1
ENST00000285093	NM_006111.2
ENST00000329798	NM_001168235.1
ENST00000394249	NM_003981.3
ENST00000353617	NM_001025593.1
ENST00000353617	NM_001025595.1
ENST00000381657	NM_018390.3
ENST00000381854	NM_017913.2
ENST00000358321	NM_019601.3
ENST00000442656	NM_001267580.1
ENST00000360156	NM_145802.3
ENST00000360156	NM_145800.3
ENST00000343984	NM_015129.5
ENST00000218867	NM_000231.2
ENST00000340177	NM_007232.2
ENST00000400701	NM_012227.2
ENST00000394610	NM_145799.3
ENST00000361919	NM_199413.2
ENST00000303052	NM_022048.3
ENST00000441778	NM_001130834.1
ENST00000381809	NM_016282.3
ENST00000361687	NM_033115.3
ENST00000509479	NM_018717.4
ENST00000304523	NM_001290.3
ENST00000394706	NM_001163437.1
ENST00000377317	NM_003923.2
ENST00000359883	NM_001199853.1
ENST00000359883	NM_001199855.1
ENST00000359883	NM_001199856.1
ENST00000447596	NM_001199852.1
ENST00000358615	NM_198682.2
ENST00000261842	NM_001252127.1
ENST00000261842	NM_007347.4
ENST00000437468	NM_002102.3
ENST00000308919	NM_017781.2
ENST00000325106	NM_031956.2
ENST00000394708	NM_001163435.1
ENST00000286827	NM_003253.2
ENST00000373511	NM_001006619.1
ENST00000327536	NM_207381.2
ENST00000390665	NM_013239.4
ENST00000393815	NM_001083620.1
ENST00000311550	NM_000814.5
ENST00000311550	NM_001278631.1
ENST00000350766	NM_024117.3
ENST00000432496	NM_001163436.1
ENST00000299267	NM_021912.4
ENST00000296526	NM_000826.3
ENST00000400188	NM_001191321.2
ENST00000373503	NM_001006620.1
ENST00000300035	NM_014736.4
ENST00000260008	NM_033393.2
ENST00000357429	NM_001134395.1
ENST00000357429	NM_032350.5
ENST00000545868	NM_001191320.1
ENST00000380258	NM_001029989.2
ENST00000270142	NM_000454.4
ENST00000264426	NM_001083619.1
ENST00000394060	NM_001006618.1
ENST00000397100	NM_001134396.1
ENST00000285039	NM_001080467.2
ENST00000394205	NM_032547.2
ENST00000263112	NM_001099782.1
ENST00000334060	NM_006883.2
ENST00000265960	NM_001006617.1
ENST00000338517	NM_001153446.1
ENST00000338517	NM_001153635.1
ENST00000394063	NM_001006621.1
ENST00000381578	NM_000451.3
ENST00000327365	NM_001099781.1
ENST00000327365	NM_004121.2
ENST00000394942	NM_001258272.1
ENST00000394942	NM_001008726.2
ENST00000394942	NM_080666.3
ENST00000326306	NM_005201.3
ENST00000402364	NM_001278055.1
ENST00000506597	NM_001153552.1
ENST00000506597	NM_001153690.1
ENST00000381750	NM_005772.3
ENST00000394201	NM_001153484.1
ENST00000394201	NM_001153663.1
ENST00000297468	NM_138445.2
ENST00000247225	NM_030791.2
ENST00000394203	NM_001153585.1
ENST00000381567	NM_022148.2
ENST00000382298	NM_014363.5
ENST00000502664	NM_002100.4
ENST00000273158	NM_017875.2
ENST00000376441	NM_020137.3
ENST00000437508	NM_001130067.1
ENST00000355957	NM_001134773.2
ENST00000376423	NM_207672.1
ENST00000333371	NM_018668.3
ENST00000358053	NM_014835.3
ENST00000338700	NM_015271.3
ENST00000435887	NM_032902.5
ENST00000313733	NM_144498.2
ENST00000359617	NM_001204868.1
ENST00000371141	NM_001001433.2
ENST00000585682	NM_001128424.1
ENST00000382435	NM_054028.1
ENST00000382435	NM_001282300.1
ENST00000296530	NM_016613.6
ENST00000400473	NM_001256438.1
ENST00000301821	NM_001012321.1
ENST00000301821	NM_002295.4
ENST00000393807	NM_001031700.2
ENST00000566593	NM_001122636.1
ENST00000439951	NM_001278649.1
ENST00000371132	NM_001134772.2
ENST00000371132	NM_003763.5
ENST00000254488	NM_014229.1
ENST00000256925	NM_001100619.2
ENST00000252032	NM_001009984.2
ENST00000420687	NM_138375.2
ENST00000248484	NM_148957.3
ENST00000226730	NM_000586.3
ENST00000382258	NM_018647.3
ENST00000382263	NM_001204458.1
ENST00000403372	NM_001204459.1
ENST00000284486	NM_053279.2
ENST00000314328	NM_015330.4
