ENSG00000150457	ENST00000382592	LATS2	NM_014572
ENSG00000145242	ENST00000273854	EPHA5	NM_001281765
ENSG00000145242	ENST00000354839	EPHA5	NM_182472
ENSG00000145242	ENST00000511294	EPHA5	NM_001281767
ENSG00000197122	ENST00000373578	SRC	NM_198291
ENSG00000197122	ENST00000445403	SRC	NM_005417
ENSG00000126934	ENST00000262948	MAP2K2	NM_030662
ENSG00000073803	ENST00000446828	MAP3K13	NM_001242317
ENSG00000073803	ENST00000424227	MAP3K13	NM_001242314
ENSG00000073803	ENST00000265026	MAP3K13	NM_004721
ENSG00000140538	ENST00000394480	NTRK3	NM_002530
ENSG00000140538	ENST00000394480	NTRK3	NM_001243101
ENSG00000140538	ENST00000360948	NTRK3	NM_001012338
ENSG00000037280	ENST00000261937	FLT4	NM_182925
ENSG00000037280	ENST00000393347	FLT4	NM_002020
ENSG00000198400	ENST00000392302	NTRK1	NM_001007792
ENSG00000198400	ENST00000368196	NTRK1	NM_001012331
ENSG00000198400	ENST00000524377	NTRK1	NM_002529
ENSG00000105639	ENST00000458235	JAK3	NM_000215
ENSG00000184304	ENST00000331968	PRKD1	NM_002742
ENSG00000171105	ENST00000341500	INSR	NM_001079817
ENSG00000171105	ENST00000302850	INSR	NM_000208
ENSG00000164078	ENST00000296474	MST1R	NM_002447
ENSG00000164078	ENST00000344206	MST1R	NM_001244937
ENSG00000162733	ENST00000367922	DDR2	NM_001014796
ENSG00000162733	ENST00000367921	DDR2	NM_006182
ENSG00000268897	ENST00000593634	BTK	NM_001287345
ENSG00000268897	ENST00000593575	BTK	NM_001287344
