Panel	HUGO	Lookup_Transcript	Reported_Transcript
cv6	CDKN2C	NM_078626.2	NM_078626
cv6	CEBPA	NM_004364.3	NM_004364
cv6	CENPA	NM_001809.3	NM_001809
cv6	CHEK1	NM_001274.5	NM_001274
cv6	CHEK2	NM_007194.3	NM_007194
cv6	CIC	NM_015125.3	NM_015125
cv6	CREBBP	NM_004380.2	NM_004380
cv6	CRKL	NM_005207.3	NM_005207
cv6	CRLF2	NM_022148.2	NM_022148
cv6	CSDE1	NM_001242891.1	NM_001242891
cv6	CSF1R	NM_005211.3	NM_005211
cv6	CSF3R	NM_000760.3	NM_000760
cv6	CTCF	NM_006565.3	NM_006565
cv6	CTLA4	NM_005214.4	NM_005214
cv6	CTNNB1	NM_001904.3	NM_001904
cv6	CUL3	NM_003590.4	NM_003590
cv6	CXCR4	NM_003467.2	NM_003467
cv6	CYLD	NM_001042355.1	NM_001042355
cv6	CYSLTR2	NM_020377.2	NM_020377
cv6	DAXX	NM_001141970.1	NM_001141970
cv6	DCUN1D1	NM_020640.2	NM_020640
cv6	DDR2	NM_006182.2	NM_006182
cv6	DICER1	NM_030621.3	NM_030621
cv6	DIS3	NM_014953.3	NM_014953
cv6	DNAJB1	NM_006145.1	NM_006145
cv6	DNMT1	NM_001379.2	NM_001379
cv6	DNMT3A	NM_022552.4	NM_022552
cv6	DNMT3B	NM_006892.3	NM_006892
cv6	DOT1L	NM_032482.2	NM_032482
cv6	DROSHA	NM_013235.4	NM_013235
cv6	DUSP4	NM_001394.6	NM_001394
cv6	E2F3	NM_001949.4	NM_001949
cv6	EED	NM_003797.3	NM_003797
cv6	EGFL7	NM_201446.2	NM_201446
cv6	EGFR	NM_005228.3	NM_005228
cv6	EIF1AX	NM_001412.3	NM_001412
cv6	EIF4A2	NM_001967.3	NM_001967
cv6	EIF4E	NM_001130678.1	NM_001130678
cv6	ELF3	NM_004433.4	NM_004433
cv6	EP300	NM_001429.3	NM_001429
cv6	EPAS1	NM_001430.4	NM_001430
cv6	EPCAM	NM_002354.2	NM_002354
cv6	EPHA3	NM_005233.5	NM_005233
cv6	EPHA5	NM_004439.5	NM_004439
cv6	EPHA7	NM_004440.3	NM_004440
cv6	EPHB1	NM_004441.4	NM_004441
cv6	ERBB2	NM_004448.2	NM_004448
cv6	ERBB3	NM_001982.3	NM_001982
cv6	ERBB4	NM_005235.2	NM_005235
cv6	ERCC2	NM_000400.3	NM_000400
cv6	ERCC3	NM_000122.1	NM_000122
cv6	ERCC4	NM_005236.2	NM_005236
cv6	ERCC5	NM_000123.3	NM_000123
cv6	ERF	NM_006494.2	NM_006494
cv6	ERG	NM_182918.3	NM_182918
cv6	ERG	NM_004449.4	NM_004449
cv6	ERRFI1	NM_018948.3	NM_018948
cv6	ESR1	NM_001122740.1	NM_001122740
cv6	ETV1	NM_001163147.1	NM_001163147
cv6	ETV6	NM_001987.4	NM_001987
cv6	EZH1	NM_001991.3	NM_001991
cv6	EZH2	NM_004456.4	NM_004456
cv6	FAM175A	NM_139076.2	NM_139076
cv6	FAM46C	NM_017709.3	NM_017709
cv6	FAM58A	NM_152274.4	NM_152274
cv6	FANCA	NM_000135.2	NM_000135
cv6	FANCC	NM_000136.2	NM_000136
cv6	FAT1	NM_005245.3	NM_005245
cv6	FBXW7	NM_033632.3	NM_033632
cv6	FGF19	NM_005117.2	NM_005117
cv6	FGF3	NM_005247.2	NM_005247
cv6	FGF4	NM_002007.2	NM_002007
cv6	FGFR1	NM_001174067.1	NM_001174067
cv6	FGFR2	NM_000141.4	NM_000141
cv6	FGFR3	NM_000142.4	NM_000142
cv6	FGFR4	NM_213647.1	NM_213647
cv6	FH	NM_000143.3	NM_000143
cv6	FLCN	NM_144997.5	NM_144997
cv6	FLT1	NM_002019.4	NM_002019
cv6	FLT3	NM_004119.2	NM_004119
cv6	FLT4	NM_182925.4	NM_182925
cv6	FOXA1	NM_004496.3	NM_004496
cv6	FOXL2	NM_023067.3	NM_023067
cv6	FOXO1	NM_002015.3	NM_002015
cv6	FOXP1	NM_001244814.1	NM_001244814
cv6	FUBP1	NM_003902.3	NM_003902
cv6	FYN	NM_153047.3	NM_153047
cv6	GATA1	NM_002049.3	NM_002049
cv6	GATA2	NM_032638.4	NM_032638
cv6	GATA3	NM_002051.2	NM_002051
cv6	GLI1	NM_005269.2	NM_005269
cv6	GNA11	NM_002067.2	NM_002067
cv6	GNAQ	NM_002072.3	NM_002072
cv6	GNAS	NM_000516.4	NM_000516
cv6	GPS2	NM_004489.4	NM_004489
cv6	GREM1	NM_013372.6	NM_013372
cv6	GRIN2A	NM_001134407.1	NM_001134407
cv6	GSK3B	NM_002093.3	NM_002093
cv6	H3F3A	NM_002107.4	NM_002107
cv6	H3F3B	NM_005324.3	NM_005324
cv6	H3F3C	NM_001013699.2	NM_001013699
cv6	HGF	NM_000601.4	NM_000601
cv6	HIST1H1C	NM_005319.3	NM_005319
cv6	HIST1H2BD	NM_021063.3	NM_021063
cv6	HIST1H3A	NM_003529.2	NM_003529
cv6	HIST1H3B	NM_003537.3	NM_003537
cv6	HIST1H3C	NM_003531.2	NM_003531
cv6	HIST1H3D	NM_003530.4	NM_003530
cv6	HIST1H3E	NM_003532.2	NM_003532
cv6	HIST1H3F	NM_021018.2	NM_021018
cv6	HIST1H3G	NM_003534.2	NM_003534
cv6	HIST1H3H	NM_003536.2	NM_003536
cv6	HIST1H3I	NM_003533.2	NM_003533
cv6	HIST1H3J	NM_003535.2	NM_003535
cv6	HIST2H3C	NM_021059.2	NM_021059
cv6	HIST2H3D	NM_001123375.2	NM_001123375
cv6	HIST3H3	NM_003493.2	NM_003493
cv6	HLA-A	NM_001242758.1	NM_001242758
cv6	HLA-B	NM_005514.6	NM_005514
cv6	HNF1A	NM_000545.5	NM_000545
cv6	HOXB13	NM_006361.5	NM_006361
cv6	HRAS	NM_001130442.1	NM_001130442
cv6	ICOSLG	NM_015259.4	NM_015259
cv6	ID3	NM_002167.4	NM_002167
cv6	IDH1	NM_005896.2	NM_005896
cv6	IDH2	NM_002168.2	NM_002168
cv6	IFNGR1	NM_000416.2	NM_000416
cv6	IGF1	NM_001111285.1	NM_001111285
cv6	IGF1R	NM_000875.3	NM_000875
cv6	IGF2	NM_001127598.1	NM_001127598
cv6	IKBKE	NM_014002.3	NM_014002
cv6	IKZF1	ENST00000331340	NM_006060
cv6	IL10	NM_000572.2	NM_000572
cv6	IL7R	NM_002185.3	NM_002185
cv6	INHA	NM_002191.3	NM_002191
cv6	INHBA	NM_002192.2	NM_002192
cv6	INPP4A	NM_001134224.1	NM_001134224
cv6	INPP4B	NM_001101669.1	NM_001101669
cv6	INPPL1	NM_001567.3	NM_001567
cv6	INSR	NM_000208.2	NM_000208
cv6	IRF4	NM_002460.3	NM_002460
cv6	IRS1	NM_005544.2	NM_005544
cv6	IRS2	NM_003749.2	NM_003749
cv6	JAK1	NM_002227.2	NM_002227
cv6	JAK2	NM_004972.3	NM_004972
cv6	JAK3	NM_000215.3	NM_000215
cv6	JUN	NM_002228.3	NM_002228
cv6	KDM5A	NM_001042603.1	NM_001042603
cv6	KDM5C	NM_004187.3	NM_004187
cv6	KDM6A	NM_021140.2	NM_021140
cv6	KDR	NM_002253.2	NM_002253
cv6	KEAP1	NM_203500.1	NM_203500
cv6	KIT	NM_000222.2	NM_000222
cv6	KLF4	NM_004235.4	NM_004235
cv6	KNSTRN	NM_033286.3	NM_033286
cv6	KRAS	NM_033360.2	NM_033360
cv6	LATS1	NM_004690.3	NM_004690
cv6	LATS2	NM_014572.2	NM_014572
cv6	LMO1	NM_002315.2	NM_002315
cv6	LYN	NM_002350.3	NM_002350
cv6	MALT1	NM_006785.3	NM_006785
cv6	MAP2K1	NM_002755.3	NM_002755
cv6	MAP2K2	NM_030662.3	NM_030662
cv6	MAP2K4	NM_003010.3	NM_003010
cv6	MAP3K1	NM_005921.1	NM_005921
cv6	MAP3K13	NM_004721.4	NM_004721
cv6	MAP3K14	NM_003954.3	NM_003954
cv6	MAPK1	NM_002745.4	NM_002745
cv6	MAPK3	NM_002746.2	NM_002746
cv6	MAPKAP1	NM_001006617.1	NM_001006617
cv6	MAX	NM_002382.4	NM_002382
cv6	MCL1	NM_021960.4	NM_021960
cv6	MDC1	NM_014641.2	NM_014641
cv6	MDM2	NM_002392.5	NM_002392
cv6	MDM4	NM_002393.4	NM_002393
cv6	MED12	NM_005120.2	NM_005120
cv6	MEF2B	NM_001145785.1	NM_001145785
cv6	MEN1	NM_000244.3	NM_000244
cv6	MET	NM_000245.2	NM_000245
cv6	MGA	NM_001164273.1	NM_001164273
cv6	MITF	NM_198159.2	NM_198159
cv6	MLH1	NM_000249.3	NM_000249
cv6	MPL	NM_005373.2	NM_005373
cv6	MRE11A	NM_005591.3	NM_005591
cv6	MSH2	NM_000251.2	NM_000251
cv6	MSH3	NM_002439.4	NM_002439
cv6	MSH6	NM_000179.2	NM_000179
cv6	MSI1	NM_002442.3	NM_002442
cv6	MSI2	NM_138962.2	NM_138962
cv6	MST1	NM_020998.3	NM_020998
cv6	MST1R	NM_002447.2	NM_002447
cv6	MTOR	NM_004958.3	NM_004958
cv6	MUTYH	NM_001128425.1	NM_001128425
cv6	MYC	NM_002467.4	NM_002467
cv6	MYCN	NM_005378.4	NM_005378
cv6	MYD88	NM_002468.4	NM_002468
cv6	MYOD1	NM_002478.4	NM_002478
cv6	NBN	NM_002485.4	NM_002485
cv6	NCOA3	NM_181659.2	NM_181659
cv6	NCOR1	NM_006311.3	NM_006311
cv6	NEGR1	NM_173808.2	NM_173808
cv6	NEGR1	NM_173808.2	NM_173808
cv6	NF1	NM_001042492.2	NM_001042492
cv6	NF2	NM_000268.3	NM_000268
cv6	NFE2L2	NM_006164.4	NM_006164
cv6	NFKBIA	NM_020529.2	NM_020529
cv6	NKX2-1	NM_001079668.2	NM_001079668
cv6	NKX3-1	NM_006167.3	NM_006167
cv6	NOTCH1	NM_017617.3	NM_017617
cv6	NOTCH2	NM_024408.3	NM_024408
cv6	NOTCH3	NM_000435.2	NM_000435
cv6	NOTCH4	NM_004557.3	NM_004557
cv6	NPM1	NM_002520.6	NM_002520
cv6	NRAS	NM_002524.4	NM_002524
cv6	NSD1	NM_022455.4	NM_022455
cv6	NTHL1	NM_002528.5	NM_002528
cv6	NTRK1	NM_002529.3	NM_002529
cv6	NTRK2	NM_006180.3	NM_006180
cv6	NTRK3	NM_001012338.2	NM_001012338
cv6	NUF2	NM_031423.3	NM_031423
cv6	NUP93	NM_014669.4	NM_014669
cv6	PAK1	NM_002576.4	NM_002576
cv6	PAK7	NM_177990.2	NM_177990
cv6	PALB2	NM_024675.3	NM_024675
cv6	PARK2	NM_004562.2	NM_004562
cv6	PARP1	NM_001618.3	NM_001618
cv6	PAX5	NM_016734.2	NM_016734
cv6	PBRM1	NM_018313.4	NM_018313
cv6	PDCD1	NM_005018.2	NM_005018
cv6	PDCD1LG2	NM_025239.3	NM_025239
cv6	PDGFRA	NM_006206.4	NM_006206
cv6	PDGFRB	NM_002609.3	NM_002609
cv6	PDPK1	NM_002613.4	NM_002613
cv6	PGR	NM_000926.4	NM_000926
cv6	PHOX2B	NM_003924.3	NM_003924
cv6	PIK3C2G	NM_004570.4	NM_004570
cv6	PIK3C3	NM_002647.2	NM_002647
cv6	PIK3CA	NM_006218.2	NM_006218
cv6	PIK3CB	NM_006219.2	NM_006219
cv6	PIK3CD	NM_005026.3	NM_005026
cv6	PIK3CG	NM_002649.2	NM_002649
cv6	PIK3R1	NM_181523.2	NM_181523
cv6	PIK3R2	NM_005027.3	NM_005027
cv6	PIK3R3	NM_003629.3	NM_003629
cv6	PIM1	NM_002648.3	NM_002648
cv6	PLCG2	NM_002661.3	NM_002661
cv6	PLK2	NM_006622.3	NM_006622
cv6	PMAIP1	NM_021127.2	NM_021127
cv6	PMS1	NM_000534.4	NM_000534
cv6	PMS2	NM_000535.5	NM_000535
cv6	PNRC1	NM_006813.2	NM_006813
cv6	POLD1	NM_002691.3	NM_002691
cv6	POLE	NM_006231.2	NM_006231
cv6	PPARG	NM_015869.4	NM_015869
cv6	PPM1D	NM_003620.3	NM_003620
cv6	PPP2R1A	NM_014225.5	NM_014225
cv6	PPP4R2	NM_174907.2	NM_174907
cv6	PPP6C	NM_002721.4	NM_002721
cv6	PRDM1	NM_001198.3	NM_001198
cv6	PRDM14	NM_024504.3	NM_024504
cv6	PREX2	NM_024870.2	NM_024870
cv6	PRKAR1A	NM_212471.2	NM_212471
cv6	PRKCI	NM_002740.5	NM_002740
cv6	PRKD1	NM_002742.2	NM_002742
cv6	PTCH1	NM_000264.3	NM_000264
cv6	PTEN	NM_000314.4	NM_000314
cv6	PTP4A1	NM_003463.4	NM_003463
cv6	PTPN11	NM_002834.3	NM_002834
cv6	PTPRD	NM_002839.3	NM_002839
cv6	PTPRS	NM_002850.3	NM_002850
cv6	PTPRT	NM_133170.3	NM_133170
cv6	RAB35	NM_006861.6	NM_006861
cv6	RAC1	NM_018890.3	NM_018890
cv6	RAC2	NM_002872.4	NM_002872
cv6	RAD21	NM_006265.2	NM_006265
cv6	RAD50	NM_005732.3	NM_005732
cv6	RAD51	NM_002875.4	NM_002875
cv6	RAD51B	NM_133509.3	NM_133509
cv6	RAD51C	NM_058216.2	NM_058216
cv6	RAD51D	NM_133629.2	NM_133629
cv6	RAD52	NM_134424.2	NM_134424
cv6	RAD54L	NM_001142548.1	NM_001142548
cv6	RAF1	NM_002880.3	NM_002880
cv6	RARA	NM_000964.3	NM_000964
cv6	RASA1	NM_002890.2	NM_002890
cv6	RB1	NM_000321.2	NM_000321
cv6	RBM10	NM_001204468.1	NM_001204468
cv6	RECQL	NM_032941.2	NM_032941
cv6	RECQL4	ENST00000428558	NM_004260
cv6	REL	NM_002908.2	NM_002908
cv6	RET	NM_020975.4	NM_020975
cv6	RFWD2	NM_022457.5	NM_022457
cv6	RHEB	NM_005614.3	NM_005614
cv6	RHOA	NM_001664.2	NM_001664
cv6	RICTOR	NM_152756.3	NM_152756
cv6	RIT1	NM_006912.5	NM_006912
cv6	RNF43	NM_017763.4	NM_017763
cv6	ROS1	NM_002944.2	NM_002944
cv6	RPS6KA4	NM_003942.2	NM_003942
cv6	RPS6KB2	NM_003952.2	NM_003952
cv6	RPTOR	NM_020761.2	NM_020761
cv6	RRAGC	NM_022157.3	NM_022157
cv6	RRAS	NM_006270.3	NM_006270
cv6	RRAS2	NM_012250.5	NM_012250
cv6	RTEL1	NM_032957.4	NM_032957
cv6	RUNX1	NM_001754.4	NM_001754
cv6	RXRA	NM_002957.4	NM_002957
cv6	RYBP	NM_012234.5	NM_012234
cv6	SDHA	NM_004168.2	NM_004168
cv6	SDHAF2	NM_017841.2	NM_017841
cv6	SDHB	NM_003000.2	NM_003000
cv6	SDHC	NM_003001.3	NM_003001
cv6	SDHD	NM_003002.3	NM_003002
cv6	SESN1	NM_014454.2	NM_014454
cv6	SESN2	NM_031459.4	NM_031459
cv6	SESN3	NM_144665.3	NM_144665
cv6	SETD2	NM_014159.6	NM_014159
cv6	SETD8	NM_020382.3	NM_020382
cv6	SF3B1	NM_012433.2	NM_012433
cv6	SH2B3	NM_005475.2	NM_005475
cv6	SH2D1A	NM_002351.4	NM_002351
cv6	SHOC2	NM_007373.3	NM_007373
cv6	SHQ1	NM_018130.2	NM_018130
cv6	SLX4	NM_032444.2	NM_032444
cv6	SMAD2	NM_001003652.3	NM_001003652
cv6	SMAD3	NM_005902.3	NM_005902
cv6	SMAD4	NM_005359.5	NM_005359
cv6	SMARCA4	NM_003072.3	NM_003072
cv6	SMARCB1	NM_003073.3	NM_003073
cv6	SMARCD1	NM_003076.4	NM_003076
cv6	SMO	NM_005631.4	NM_005631
cv6	SMYD3	NM_001167740.1	NM_001167740
cv6	SOCS1	NM_003745.1	NM_003745
cv6	SOS1	NM_005633.3	NM_005633
cv6	SOX17	NM_022454.3	NM_022454
cv6	SOX2	NM_003106.3	NM_003106
cv6	SOX9	NM_000346.3	NM_000346
cv6	SPEN	NM_015001.2	NM_015001
cv6	SPOP	NM_001007228.1	NM_001007228
cv6	SPRED1	NM_152594.2	NM_152594
cv6	SRC	NM_198291.2	NM_198291
cv6	SRSF2	NM_003016.4	NM_003016
cv6	STAG2	NM_001042749.1	NM_001042749
cv6	STAT3	NM_139276.2	NM_139276
cv6	STAT5A	NM_003152.3	NM_003152
cv6	STAT5B	NM_012448.3	NM_012448
cv6	STK11	NM_000455.4	NM_000455
cv6	STK19	NM_004197.1	NM_004197
cv6	STK40	NM_032017.1	NM_032017
cv6	SUFU	NM_016169.3	NM_016169
cv6	SUZ12	NM_015355.2	NM_015355
cv6	SYK	NM_003177.5	NM_003177
cv6	TAP1	NM_000593.5	NM_000593
cv6	TAP2	NM_018833.2	NM_018833
cv6	TBX3	NM_016569.3	NM_016569
cv6	TCEB1	NM_005648.3	NM_005648
cv6	TCF3	NM_001136139.2	NM_001136139
cv6	TCF7L2	NM_001146274.1	NM_001146274
cv6	TEK	NM_000459.3	NM_000459
cv6	TERT	NM_198253.2	NM_198253
cv6	TET1	NM_030625.2	NM_030625
cv6	TET2	NM_001127208.2	NM_001127208
cv6	TGFBR1	NM_004612.2	NM_004612
cv6	TGFBR2	NM_001024847.2	NM_001024847
cv6	TMEM127	NM_001193304.2	NM_001193304
cv6	TMPRSS2	NM_001135099.1	NM_001135099
cv6	TNFAIP3	NM_006290.3	NM_006290
cv6	TNFRSF14	NM_003820.2	NM_003820
cv6	TOP1	NM_003286.2	NM_003286
cv6	TP53	NM_000546.5	NM_000546
cv6	TP53BP1	NM_001141980.1	NM_001141980
cv6	TP63	NM_003722.4	NM_003722
cv6	TRAF2	NM_021138.3	NM_021138
cv6	TRAF7	NM_032271.2	NM_032271
cv6	TSC1	NM_000368.4	NM_000368
cv6	TSC2	NM_000548.3	NM_000548
cv6	TSHR	NM_000369.2	NM_000369
cv6	U2AF1	NM_006758.2	NM_006758
cv6	UPF1	NM_002911.3	NM_002911
cv6	VEGFA	NM_001171623.1	NM_001171623
cv6	VHL	NM_000551.3	NM_000551
cv6	VTCN1	NM_024626.3	NM_024626
cv6	WHSC1	NM_001042424.2	NM_001042424
cv6	WHSC1L1	NM_023034.1	NM_023034
cv6	WT1	NM_024426.4	NM_024426
cv6	WWTR1	NM_001168280.1	NM_001168280
cv6	XIAP	NM_001167.3	NM_001167
cv6	XPO1	NM_003400.3	NM_003400
cv6	XRCC2	NM_005431.1	NM_005431
cv6	YAP1	NM_001130145.2	NM_001130145
cv6	YES1	NM_005433.3	NM_005433
cv6	ZFHX3	NM_006885.3	NM_006885
cv6	ZRSR2	NM_005089.3	NM_005089
cv6_sv	CD74	NM_001025159.2	NM_001025159
cv6_sv	EWSR1	NM_013986.3	NM_013986
cv6_sv	KCNAB2	NM_001199862.1	NM_001199862
cv6_sv	KMT2A	NM_001197104.1	NM_001197104
cv6_sv	KMT2B	NM_014727.1	NM_014727
cv6_sv	KMT2C	NM_170606.2	NM_170606
cv6_sv	KMT2D	NM_003482.3	NM_003482
cv6_sv	NAB2	NM_005967.3	NM_005967
cv6_sv	NUTM1	NM_175741.1	NM_175741
cv6_sv	PAX8	NM_003466.3	NM_003466
cv6_sv	RELA	NM_021975.3	NM_021975
cv6_sv	SZT2	NM_015284.3	NM_015284
cv6_sv	TFE3	NM_006521.4	NM_006521
