Gene	Transcripts
FAM110C	NM_001077710.2
FAM110D	NM_024869.2
FAM111A	NM_022074.3
FAM111B	NM_198947.3
FAM114A1	NM_138389.2
FAM114A2	NM_018691.2
FAM115A	NM_014719.2
FAM115C	NM_173678.2
FAM117A	NM_030802.3
FAM117B	NM_173511.3
FAM118A	NM_017911.2
FAM118B	NM_024556.3
FAM120A	NM_014612.3
FAM120AOS	NM_198841.2
FAM120B	NM_032448.1
FAM120C	NM_017848.4
FAM122A	NM_138333.3
FAM122B	NM_001170756.1
FAM122C	NM_001170779.1
FAM123A	NM_152704.2
FAM123C	NM_152698.2
FAM124A	NM_001242312.1
FAM124B	NM_001122779.1
FAM125A	NM_138401.2
FAM125B	NM_033446.2
FAM126A	NM_032581.3
FAM126B	NM_173822.3
FAM127A	NM_001078171.1
FAM127B	NM_001078172.1
FAM127C	NM_001078173.1
FAM129A	NM_052966.3
FAM129B	NM_022833.2
FAM129C	NM_173544.4
FAM131A	NM_144635.4
FAM131B	NM_001031690.2
FAM131C	NM_182623.2
FAM132A	NM_001014980.2
FAM133A	NM_001171109.1
FAM133B	NM_152789.2
FAM134A	NM_024293.4
FAM134B	NM_001034850.2
FAM134C	NM_178126.3
FAM135A	NM_001162529.1
FAM135B	NM_015912.3
FAM136A	NM_032822.2
FAM13A	NM_014883.3
FAM13B	NM_016603.2
FAM13C	NM_198215.3
FAM149A	NM_001006655.2
FAM149B1	NM_173348.1
FAM150A	NM_207413.3
FAM150B	NM_001002919.2
FAM151A	NM_176782.2
FAM151B	NM_205548.2
FAM153A	NM_173663.3
FAM154A	NM_153707.2
FAM154B	NM_001008226.1
FAM155A	NM_001080396.2
FAM155B	NM_015686.2
FAM156A	NM_001242497
FAM156B	NM_001099684.1
FAM157A	NM_001145248
FAM157B	NM_001145249
FAM159A	NM_001042693.1
FAM159B	NM_001164442.1
FAM160A1	NM_001109977.1
FAM160A2	NM_032127.3
FAM160B1	NM_020940.3
FAM160B2	NM_022749.5
FAM161A	NM_001201543.1
FAM161B	NM_152445.2
FAM162A	NM_014367.3
FAM162B	NM_001085480.2
FAM163A	NM_173509.2
FAM163B	NM_001080515.2
FAM165B	NM_058182.4
FAM166A	NM_001001710.1
FAM166B	NM_001164310.1
FAM167A	NM_053279.2
FAM167B	NM_032648.2
FAM168A	NM_015159.1
FAM168B	NM_001009993.2
FAM169A	NM_015566.2
FAM169B	NM_182562.2
FAM170A	NM_182761.3
FAM170B	NM_001164484.1
FAM171A1	NM_001010924.1
FAM171A2	NM_198475.2
FAM171B	NM_177454.3
FAM172A	NM_032042.5
FAM173A	NM_023933.2
FAM173B	NM_199133.3
FAM174A	NM_198507.1
FAM174B	NM_207446.2
FAM175A	NM_139076.2
FAM175B	NM_032182.3
FAM177A1	NM_173607.3
FAM177B	NM_207468.2
FAM178A	NM_001136123.1
FAM178B	NM_001122646.2
FAM179A	NM_199280.2
FAM179B	NM_015091.2
FAM180A	NM_205855.3
FAM180B	NM_001164379.1
FAM181A	NM_001207074.1
FAM181B	NM_175885.3
FAM183A	NM_001101376.2
FAM184A	NM_024581.4
FAM184B	NM_015688.1
FAM185A	NM_001145268.1
FAM186A	NM_001145475.1
FAM186B	NM_032130.2
FAM187B	NM_152481.1
FAM188A	NM_024948.2
FAM188B	NM_032222.2
FAM189A1	NM_015307.1
FAM189A2	NM_001127608.1
FAM189B	NM_006589.2
FAM18A	NM_001079512.2
FAM18B1	NM_016078.4
FAM18B2	NM_145301.2
FAM190A	NM_001145065.1
FAM192A	NM_024946.2
FAM193A	NM_003704.3
FAM193B	NM_001190946.1
FAM194A	NM_152394.3
FAM194B	NM_182542.2
FAM195A	NM_138418.2
FAM195B	NM_207368.3
FAM196A	NM_001039762.2
FAM196B	NM_001129891.1
FAM198A	NM_001129908.2
FAM198B	NM_001128424.1
FAM199X	NM_207318.3
FAM19A1	NM_001252216
FAM19A2	NM_178539.4
FAM19A3	NM_001004440.1
FAM19A4	NM_001005527.2
FAM19A5	NM_001082967.1
FAM200A	NM_145111.3
FAM200B	NM_001145191.1
FAM203A	NM_016458.2
FAM204A	NM_001134672.1
FAM205A	NM_001141917.1
FAM206A	NM_017832.3
FAM207A	NM_058190.2
FAM208A	NM_001112736.1
FAM208B	NM_017782.4
FAM209B	NM_001013646.3
FAM20A	NM_017565.3
FAM20B	NM_014864.3
FAM20C	NM_020223.3
FAM210A	NM_152352.3
FAM210B	NM_080821.2
FAM211A	NM_001113567.2
FAM211B	NM_207644.2
FAM212A	NM_203370.1
FAM212B	NM_019099.4
FAM213B	NM_152371.3
FAM214A	NM_019600.2
FAM214B	NM_025182.2
FAM21A	NM_001005751.1
FAM21B	NM_018232.1
FAM21C	NM_015262.2
FAM22A	NM_001099338.1
FAM22D	NM_001009610
FAM22F	NM_017561.1
FAM22G	NM_001170741.1
FAM24A	NM_001029888.1
FAM24B	NM_001204364.1
FAM25A	NM_001146157.2
FAM25B	NM_001137556.2
FAM26D	NM_153036.3
FAM26E	NM_153711.2
FAM26F	NM_001010919.2
FAM32A	NM_014077.2
FAM35A	NM_019054.2
FAM3A	NM_021806.2
FAM3B	NM_058186.3
FAM3C	NM_001040020.1
FAM3D	NM_138805.2
FAM43A	NM_153690.4
FAM43B	NM_207334.2
FAM45A	NM_207009.2
FAM46A	NM_017633.2
FAM46B	NM_052943.3
FAM46C	NM_017709.3
FAM46D	NM_001170574.1
FAM47A	NM_203408.3
FAM47B	NM_152631.2
FAM47C	NM_001013736.2
FAM47E	NM_001136570.2
FAM48A	NM_001014286.2
FAM48B1	NM_001136234
FAM48B2	NM_001136233
FAM49A	NM_030797.3
FAM49B	NM_016623.4
FAM50A	NM_004699.3
FAM50B	NM_012135.1
FAM53A	NM_001174070.1
FAM53B	NM_014661.3
FAM53C	NM_016605.2
FAM54A	NM_138419.3
FAM54B	NM_001099625.1
FAM57A	NM_024792.1
FAM57B	NM_031478.4
FAM58A	NM_152274.4
FAM58BP	NM_001105517
FAM59A	NM_001242409.1
FAM59B	NM_001168241.1
FAM5B	NM_021165.2
FAM5C	NM_199051.1
FAM60A	NM_001135812.1
FAM63A	NM_001163258.1
FAM63B	NM_001040450.1
FAM64A	NM_001195228.1
FAM65A	NM_001193523.1
FAM65B	NM_014722.2
FAM65C	NM_080829.2
FAM69A	NM_001006605.4
FAM69B	NM_152421.3
FAM69C	NM_001044369.2
FAM70A	NM_017938.3
FAM70B	NM_182614.2
FAM71A	NM_153606.3
FAM71B	NM_130899.2
FAM71C	NM_153364.3
FAM71D	NM_173526.3
FAM71E1	NM_138411.1
FAM71E2	NM_001145402.1
FAM71F1	NM_032599.2
FAM71F2	NM_001128926.1
FAM72A	NM_001123168.1
FAM72B	NM_001100910.1
FAM72D	NM_207418.2
FAM73A	NM_198549.3
FAM73B	NM_032809.2
FAM76A	NM_001143912.1
FAM76B	NM_144664.4
FAM78A	NM_033387.3
FAM78B	NM_001017961.3
FAM81A	NM_152450.2
FAM81B	NM_152548.2
FAM82A1	NM_144713.3
FAM82A2	NM_018145.1
FAM82B	NM_016033.2
FAM83A	NM_032899.4
FAM83B	NM_001010872.2
FAM83C	NM_178468.5
FAM83D	NM_030919.2
FAM83E	NM_017708.3
FAM83F	NM_138435.2
FAM83G	NM_001039999.2
FAM83H	NM_198488.3
FAM84A	NM_145175.2
FAM84B	NM_174911.4
FAM86A	NM_201400.2
FAM86B1	NM_001083537.1
FAM86B2	NM_001137610.1
FAM86C1	NM_018172.2
FAM89A	NM_198552.2
FAM89B	NM_001098785.1
FAM8A1	NM_016255.2
FAM90A1	NM_018088.3
FAM91A1	NM_144963.2
FAM92A1	NM_145269.3
FAM92B	NM_198491.1
FAM96A	NM_032231.4
FAM96B	NM_016062.3
FAM98A	NM_015475.3
FAM98B	NM_173611.2
FAM98C	NM_174905.3
FAM9A	NM_174951.3
FAM9B	NM_205849.2
FAM9C	NM_174901.5
FAN1	NM_014967.4
FANCA	NM_000135.2
FANCB	NM_152633.2
FANCC	NM_000136.2
FANCD2	NM_033084.3
FANCE	NM_021922.2
FANCF	NM_022725.3
FANCG	NM_004629.1
FANCI	NM_001113378.1
FANCL	NM_018062.3
FANCM	NM_020937.2
FANK1	NM_145235.3
FAP	NM_004460.2
FAR1	NM_032228.5
FAR2	NM_018099.4
FARP1	NM_005766.2
FARP2	NM_014808.2
FARS2	NM_006567.3
FARSA	NM_004461.2
FARSB	NM_005687.3
FAS	NM_000043.4
FASLG	NM_000639.1
FASN	NM_004104.4
FASTK	NM_006712.4
FASTKD1	NM_024622.4
FASTKD2	NM_001136194.1
FASTKD3	NM_024091.3
FASTKD5	NM_021826.4
FAT1	NM_005245.3
FAT2	NM_001447.2
FAT3	NM_001008781.2
FAT4	NM_024582.4
FATE1	NM_033085.2
FAU	NM_001997.4
FBF1	NM_001080542.1
FBL	NM_001436.3
FBLIM1	NM_017556.2
FBLN1	NM_006486.2
FBLN2	NM_001004019.1
FBLN5	NM_006329.3
FBLN7	NM_153214.2
FBN1	NM_000138.4
FBN2	NM_001999.3
FBN3	NM_032447.3
FBP1	NM_000507.3
FBP2	NM_003837.2
FBRS	NM_001105079.1
FBRSL1	NM_001142641.1
FBXL12	NM_017703.1
FBXL13	NM_145032.3
FBXL14	NM_152441.2
FBXL15	NM_024326.3
FBXL16	NM_153350.3
FBXL17	NM_001163315.2
FBXL18	NM_024963.4
FBXL19	NM_001099784.2
FBXL2	NM_012157.3
FBXL20	NM_032875.2
FBXL21	NM_012159.4
FBXL22	NM_203373.2
FBXL3	NM_012158.2
FBXL4	NM_012160.4
FBXL5	NM_012161.3
FBXL6	NM_012162.3
FBXL7	NM_012304.4
FBXL8	NM_018378.2
FBXO10	NM_012166.2
FBXO11	NM_001190274.1
FBXO15	NM_001142958.1
FBXO16	NM_172366.3
FBXO18	NM_032807.4
FBXO2	NM_012168.5
FBXO21	NM_033624.2
FBXO22	NM_147188.2
FBXO24	NM_012172.4
FBXO25	NM_183421.1
FBXO27	NM_178820.3
FBXO28	NM_015176.3
FBXO3	NM_012175.3
FBXO30	NM_032145.4
FBXO31	NM_024735.3
FBXO32	NM_058229.3
FBXO33	NM_203301.3
FBXO34	NM_152231.1
FBXO36	NM_174899.4
FBXO38	NM_205836
FBXO39	NM_153230.2
FBXO4	NM_012176.2
FBXO40	NM_016298.3
FBXO41	NM_001080410.2
FBXO42	NM_018994.1
FBXO43	NM_001029860.3
FBXO44	NM_033182.5
FBXO45	NM_001105573.1
FBXO46	NM_001080469.1
FBXO47	NM_001008777.2
FBXO48	NM_001024680.1
FBXO5	NM_012177.3
FBXO6	NM_018438.5
FBXO7	NM_012179.3
FBXO8	NM_012180.2
FBXO9	NM_033481.3
FBXW11	NM_012300.2
FBXW12	NM_001159929.1
FBXW2	NM_012164.3
FBXW4	NM_022039.3
FBXW5	NM_018998.3
FBXW7	NM_033632.3
FBXW8	NM_153348.2
FBXW9	NM_032301.2
FCAMR	NM_001170631.1
FCAR	NM_002000.2
FCER1A	NM_002001.3
FCER1G	NM_004106.1
FCER2	NM_002002.4
FCF1	NM_015962.4
FCGBP	NM_003890.2
FCGR1A	NM_000566.3
FCGR1B	NM_001017986.3
FCGR2A	NM_001136219.1
FCGR2B	NM_004001.4
FCGR2C	NM_201563
FCGR3A	NM_000569.6
FCGR3B	NM_001244753.1
FCGRT	NM_004107.4
FCHO1	NM_001161357.1
FCHO2	NM_138782.2
FCHSD1	NM_033449.2
FCHSD2	NM_014824.2
FCN1	NM_002003.3
FCN2	NM_004108.2
FCN3	NM_003665.2
FCRL1	NM_052938.4
FCRL2	NM_030764.3
FCRL3	NM_052939.3
FCRL4	NM_031282.2
FCRL5	NM_001195388.1
FCRL6	NM_001004310.2
FCRLA	NM_001184866.1
FCRLB	NM_001002901.2
FDCSP	NM_152997.3
FDFT1	NM_004462.3
FDPS	NM_002004.3
FDX1	NM_004109.4
FDX1L	NM_001031734.2
FDXACB1	NM_138378.2
FDXR	NM_024417.2
FECH	NM_001012515.2
FEM1A	NM_018708.2
FEM1B	NM_015322.4
FEM1C	NM_020177.2
FEN1	NM_004111.5
FER	NM_005246.2
FER1L5	NM_001113382
FER1L6	NM_001039112.2
FERD3L	NM_152898.2
FERMT1	NM_017671.4
FERMT2	NM_001134999.1
FERMT3	NM_031471.5
FES	NM_002005.3
FETUB	NM_014375.2
FEV	NM_017521.2
FEZ1	NM_005103.4
FEZ2	NM_001042548.1
FEZF1	NM_001024613.2
FEZF2	NM_018008.3
FFAR1	NM_005303.2
FFAR2	NM_005306.2
FFAR3	NM_005304.3
FGA	NM_000508.3
FGB	NM_005141.4
FGD1	NM_004463.2
FGD2	NM_173558.3
FGD3	NM_033086.2
FGD4	NM_139241.2
FGD5	NM_152536.3
FGD6	NM_018351.3
FGF1	NM_000800.4
FGF10	NM_004465.1
FGF11	NM_004112.2
FGF12	NM_021032.4
FGF13	NM_001139500.1
FGF14	NM_175929.2
FGF16	NM_003868
FGF17	NM_003867.2
FGF18	NM_003862.2
FGF19	NM_005117.2
FGF2	NM_002006.4
FGF20	NM_019851.2
FGF21	NM_019113.2
FGF22	NM_020637.1
FGF23	NM_020638.2
FGF3	NM_005247.2
FGF4	NM_002007.2
FGF5	NM_004464.3
FGF6	NM_020996.1
FGF7	NM_002009.3
FGF8	NM_033163.3
FGF9	NM_002010.2
FGFBP1	NM_005130.4
FGFBP2	NM_031950.3
FGFBP3	NM_152429.4
FGFR1	NM_001174067.1
FGFR1OP	NM_007045.3
FGFR1OP2	NM_015633.2
FGFR2	NM_000141.4
FGFR3	NM_000142.4
FGFR4	NM_213647.1
FGFRL1	NM_001004358.1
FGG	NM_021870.2
FGGY	NM_001113411.1
FGL1	NM_004467.3
FGL2	NM_006682.2
FGR	NM_005248.2
FH	NM_000143.3
FHAD1	NM_052929.1
FHDC1	NM_033393.2
FHIT	NM_001166243.1
FHL1	NM_001159702.2
FHL2	NM_001450.3
FHL3	NM_004468.4
FHL5	NM_001170807.1
FHOD1	NM_013241.2
FHOD3	NM_025135.2
FIBCD1	NM_032843.4
FIBIN	NM_203371.1
FIBP	NM_198897.1
FICD	NM_007076.2
FIG4	NM_014845.5
FIGF	NM_004469.4
FIGLA	NM_001004311.3
FIGN	NM_018086.2
FIGNL1	NM_001042762.1
FIGNL2	NM_001013690
FILIP1	NM_015687.2
FILIP1L	NM_182909.2
FIP1L1	NM_001134937.1
FIS1	NM_016068.2
FITM1	NM_203402.2
FITM2	NM_001080472.1
FIZ1	NM_032836.2
FJX1	NM_014344.3
FKBP10	NM_021939.3
FKBP11	NM_016594.2
FKBP14	NM_017946.3
FKBP15	NM_015258.1
FKBP1A	NM_000801.4
FKBP1B	NM_004116.3
FKBP2	NM_004470.3
FKBP3	NM_002013.3
FKBP4	NM_002014.3
FKBP5	NM_004117.3
FKBP6	NM_003602.4
FKBP7	NM_181342.2
FKBP8	NM_012181.3
FKBP9	NM_007270.3
FKBPL	NM_022110.3
FKRP	NM_001039885.2
FKTN	NM_006731.2
FLAD1	NM_025207.4
FLCN	NM_144997.5
FLG	NM_002016.1
FLG2	NM_001014342.2
FLI1	NM_002017.4
FLII	NM_002018.3
FLJ22184	NM_001190467.1
FLJ23152	NM_001190766.1
FLJ25363	NM_001145553
FLJ27352	NM_001198784.1
FLJ42280	NM_001201450.1
FLJ43860	NM_207414.2
FLJ44635	NM_207422
FLJ45513	NM_001242791.1
FLNA	NM_001110556.1
FLNB	NM_001457.3
FLNC	NM_001458.4
FLOT1	NM_005803.2
FLOT2	NM_004475.2
FLRT1	NM_013280.4
FLRT2	NM_013231.4
FLRT3	NM_013281.3
FLT1	NM_002019.4
FLT3	NM_004119.2
FLT3LG	NM_001204502.1
FLT4	NM_182925.4
FLVCR1	NM_014053.3
FLVCR2	NM_017791.2
FLYWCH1	NM_032296.2
FLYWCH2	NM_001142500.1
FMN1	NM_001103184.3
FMN2	NM_020066.4
FMNL1	NM_005892.3
FMNL2	NM_052905.3
FMNL3	NM_175736.4
FMO1	NM_002021.1
FMO2	NM_001460.3
FMO3	NM_006894.5
FMO4	NM_002022.1
FMO5	NM_001461.3
FMOD	NM_002023.4
FMR1	NM_002024.5
FMR1NB	NM_152578.2
FN1	NM_212482.1
FN3K	NM_022158.3
FN3KRP	NM_024619.3
FNBP1	NM_015033.2
FNBP1L	NM_001164473.2
FNBP4	NM_015308.2
FNDC1	NM_032532.2
FNDC3A	NM_001079673.1
FNDC3B	NM_022763.3
FNDC4	NM_022823.2
FNDC5	NM_001171941.2
FNDC7	NM_001144937.1
FNDC8	NM_017559.2
FNDC9	NM_001001343.3
FNIP2	NM_020840.1
FNTA	NM_002027.2
FOLH1	NM_004476.1
FOLH1B	NM_153696
FOLR1	NM_016725.2
FOLR2	NM_001113536.1
FOLR3	NM_000804.2
FOLR4	NM_001199206.1
FOPNL	NM_144600.2
FOS	NM_005252.3
FOSB	NM_006732.2
FOSL1	NM_005438.3
FOSL2	NM_005253.3
FOXA1	NM_004496.3
FOXA2	NM_021784.4
FOXA3	NM_004497.2
FOXB1	NM_012182.2
FOXB2	NM_001013735.1
FOXC1	NM_001453.2
FOXC2	NM_005251.2
FOXD1	NM_004472.2
FOXD2	NM_004474.3
FOXD3	NM_012183.2
FOXD4	NM_207305.4
FOXD4L1	NM_012184.4
FOXD4L3	NM_199135.4
FOXD4L4	NM_199244.2
FOXD4L5	NM_001126334.1
FOXD4L6	NM_001085476.1
FOXE1	NM_004473.3
FOXE3	NM_012186.2
FOXF1	NM_001451.2
FOXF2	NM_001452.1
FOXG1	NM_005249.4
FOXH1	NM_003923.2
FOXI1	NM_012188.4
FOXI2	NM_207426.2
FOXI3	NM_001135649
FOXJ1	NM_001454.3
FOXJ2	NM_018416.2
FOXJ3	NM_014947.4
FOXK1	NM_001037165.1
FOXK2	NM_004514.3
FOXL1	NM_005250.2
FOXL2	NM_023067.3
FOXM1	NM_021953.3
FOXN1	NM_003593.2
FOXN2	NM_002158.3
FOXN3	NM_001085471.1
FOXN4	NM_213596.2
FOXO1	NM_002015.3
FOXO3	NM_001455.3
FOXO4	NM_005938.3
FOXP1	NM_001244814.1
FOXP2	NM_148898.3
FOXP3	NM_014009.3
FOXP4	NM_001012426.1
FOXQ1	NM_033260.3
FOXR1	NM_181721.2
FOXR2	NM_198451.3
FOXRED1	NM_017547.3
FOXRED2	NM_001102371.1
FOXS1	NM_004118.3
FPGS	NM_004957.4
FPGT-TNNI3K	NM_001112808.2
FPR1	NM_002029.3
FPR2	NM_001005738.1
FPR3	NM_002030.3
FRA10AC1	NM_145246.4
FRAS1	NM_025074.6
FRAT1	NM_005479.3
FRAT2	NM_012083.2
FREM1	NM_144966.5
FREM2	NM_207361.4
FREM3	NM_001168235.1
FRG1	NM_004477.2
FRG2B	NM_001080998.1
FRG2C	NM_001124759.1
FRK	NM_002031.2
FRMD1	NM_024919.3
FRMD3	NM_174938.5
FRMD4A	NM_018027.3
FRMD4B	NM_015123.1
FRMD5	NM_032892.3
FRMD6	NM_152330.3
FRMD7	NM_194277.2
FRMD8	NM_031904.3
FRMPD1	NM_014907.2
FRMPD2	NM_001018071.3
FRMPD4	NM_014728.3
FRRS1	NM_001013660.2
FRS2	NM_001042555.2
FRS3	NM_006653.4
FRY	NM_023037.2
FRYL	NM_015030.1
FRZB	NM_001463.3
FSCB	NM_032135.3
FSCN1	NM_003088.3
FSCN2	NM_012418.3
FSCN3	NM_020369.2
FSD1	NM_024333.2
FSD1L	NM_207647.2
FSD2	NM_001007122.2
FSHB	NM_001018080.1
FSHR	NM_000145.3
FSIP1	NM_152597.4
FSIP2	NM_173651.2
FST	NM_013409.2
FSTL1	NM_007085.4
FSTL3	NM_005860.2
FSTL4	NM_015082.1
FSTL5	NM_020116.4
FTCD	NM_006657.2
FTH1	NM_002032.2
FTHL17	NM_031894.2
FTL	NM_000146.3
FTMT	NM_177478.1
FTO	NM_001080432.2
FTSJ1	NM_012280.2
FTSJ2	NM_013393.1
FTSJ3	NM_017647.3
FTSJD1	NM_001099642.1
FTSJD2	NM_015050.2
FUBP1	NM_003902.3
FUBP3	NM_003934.1
FUCA1	NM_000147.4
FUCA2	NM_032020.4
FUK	NM_145059.2
FUNDC1	NM_173794.3
FUNDC2	NM_023934.3
FURIN	NM_002569.2
FUS	NM_004960.3
FUT1	NM_000148.3
FUT10	NM_032664.3
FUT11	NM_173540.2
FUT2	NM_000511.5
FUT3	NM_001097641.1
FUT4	NM_002033.3
FUT5	NM_002034.2
FUT6	NM_001040701.1
FUT7	NM_004479.3
FUT8	NM_178156.2
FUT9	NM_006581.3
FUZ	NM_025129.4
FXC1	NM_012192.3
FXN	NM_000144.4
FXR1	NM_005087.3
FXR2	NM_004860.3
FXYD1	NM_021902.3
FXYD3	NM_001136007.1
FXYD4	NM_001184963
FXYD5	NM_014164.5
FXYD6-FXYD2	NM_001204268
FXYD7	NM_022006.1
FYB	NM_001243093.1
FYCO1	NM_024513.3
FYN	NM_153047.3
FYTTD1	NM_032288.6
FZD1	NM_003505.1
FZD10	NM_007197.3
FZD2	NM_001466.3
FZD3	NM_145866.1
FZD4	NM_012193.3
FZD5	NM_003468.3
FZD6	NM_001164615.1
FZD7	NM_003507.1
FZD8	NM_031866.2
FZD9	NM_003508.2
FZR1	NM_001136198.1
G0S2	NM_015714.3
G2E3	NM_017769.3
G3BP1	NM_198395.1
G3BP2	NM_203505.2
G6PC	NM_000151.3
G6PC2	NM_021176.2
G6PC3	NM_138387.3
G6PD	NM_000402.3
GAA	NM_001079804.1
GAB1	NM_207123.2
GAB2	NM_080491.2
GAB3	NM_001081573.1
GAB4	NM_001037814.1
GABARAP	NM_007278.1
GABARAPL1	NM_031412.2
GABARAPL2	NM_007285.6
GABBR1	NM_001470.2
GABBR2	NM_005458.7
GABPA	NM_002040.3
GABPB1	NM_005254.5
GABPB2	NM_144618.2
GABRA1	NM_001127647
GABRA2	NM_000807.2
GABRA3	NM_000808.3
GABRA4	NM_001204266.1
GABRA5	NM_001165037.1
GABRA6	NM_000811.2
GABRB1	NM_000812.3
GABRB2	NM_021911.2
GABRB3	NM_000814.5
GABRD	NM_000815.4
GABRE	NM_004961.3
GABRG1	NM_173536.3
GABRG2	NM_198903.2
GABRG3	NM_033223.4
GABRP	NM_014211.2
GABRQ	NM_018558.3
GABRR1	NM_002042.4
GABRR2	NM_002043.3
GAD1	NM_000817.2
GAD2	NM_001134366.1
GADD45A	NM_001924.3
GADD45B	NM_015675.3
GADD45G	NM_006705.3
GADD45GIP1	NM_052850.3
GADL1	NM_207359.2
GAGE1	NM_001468
GAGE10	NM_001098413.2
GAGE12E	NM_001098418.1
GAGE12I	NM_001477.1
GAGE2B	NM_001098411.3
GAK	NM_005255.2
GAL	NM_015973.3
GAL3ST1	NM_004861.1
GAL3ST2	NM_022134.2
GAL3ST3	NM_033036.2
GAL3ST4	NM_024637.4
GALC	NM_000153.3
GALE	NM_001127621.1
GALK1	NM_000154.1
GALK2	NM_002044.2
GALM	NM_138801.2
GALNS	NM_000512.4
GALNT1	NM_020474.3
GALNT10	NM_198321.3
GALNT11	NM_022087.2
GALNT12	NM_024642.4
GALNT13	NM_052917.2
GALNT14	NM_024572.3
GALNT2	NM_004481.3
GALNT3	NM_004482.3
GALNT4	NM_003774.4
GALNT5	NM_014568.1
GALNT6	NM_007210.3
GALNT7	NM_017423.2
GALNT8	NM_017417.1
GALNT9	NM_001122636.1
GALNTL1	NM_001168368.1
GALNTL2	NM_054110.4
GALNTL4	NM_198516.2
GALNTL5	NM_145292.3
GALNTL6	NM_001034845.2
GALP	NM_033106.3
GALR1	NM_001480.3
GALR2	NM_003857.2
GALR3	NM_003614.1
GALT	NM_000155.3
GAMT	NM_138924.2
GAN	NM_022041.3
GANAB	NM_198335.3
GANC	NM_198141.2
GAP43	NM_002045.3
GAPDH	NM_002046.4
GAPDHS	NM_014364.4
GAPT	NM_152687.2
GAPVD1	NM_015635.2
GAR1	NM_032993.2
GARNL3	NM_032293.4
GARS	NM_002047.2
GART	NM_000819.4
GAS1	NM_002048.2
GAS2	NM_005256.3
GAS2L1	NM_006478.4
GAS2L2	NM_139285.3
GAS2L3	NM_174942.1
GAS6	NM_000820.2
GAS7	NM_201433.1
GAS8	NM_001481.2
GAST	NM_000805.4
GATA1	NM_002049.3
GATA2	NM_032638.4
GATA3	NM_002051.2
GATA4	NM_002052.3
GATA5	NM_080473.4
GATA6	NM_005257.4
GATAD1	NM_021167.4
GATAD2A	NM_017660.3
GATAD2B	NM_020699.2
GATC	NM_176818.2
GATM	NM_001482.2
GATS	NM_178831.6
GATSL1	NM_001145063.2
GATSL2	NM_001145064.1
GBA	NM_001005742.2
GBA2	NM_020944.2
GBA3	NM_020973.4
GBAS	NM_001483.2
GBE1	NM_000158.3
GBF1	NM_004193.2
GBP1	NM_002053.2
GBP2	NM_004120.4
GBP3	NM_018284.2
GBP4	NM_052941.4
GBP5	NM_001134486.2
GBP6	NM_198460.2
GBP7	NM_207398.2
GBX1	NM_001098834.1
GBX2	NM_001485.2
GC	NM_001204307.1
GCA	NM_012198.3
GCAT	NM_014291.3
GCC1	NM_024523.5
GCC2	NM_181453.3
GCDH	NM_000159.3
GCFC1	NM_016631.3
GCFC2	NM_003203.4
GCG	NM_002054.4
GCGR	NM_000160.3
GCH1	NM_000161.2
GCHFR	NM_005258.2
GCK	NM_033507.1
GCKR	NM_001486.3
GCLC	NM_001498.3
GCLM	NM_002061.2
GCM1	NM_003643.3
GCM2	NM_004752.3
GCN1L1	NM_006836.1
GCNT1	NM_001097633.1
GCNT2	NM_145655.3
GCNT3	NM_004751.2
GCNT4	NM_016591.2
GCNT7	NM_080615.1
GCOM1	NM_001018090.4
GCSH	NM_004483.4
GDA	NM_001242505.2
GDAP1	NM_018972.2
GDAP1L1	NM_024034.4
GDAP2	NM_017686.3
GDE1	NM_016641.3
GDF10	NM_004962.3
GDF11	NM_005811.3
GDF15	NM_004864.2
GDF2	NM_016204.1
GDF3	NM_020634.1
GDF5	NM_000557.2
GDF6	NM_001001557.2
GDF7	NM_182828.2
GDF9	NM_005260.3
GDI1	NM_001493.2
GDI2	NM_001494.3
GDNF	NM_001190468.1
GDPD1	NM_182569.3
GDPD2	NM_001171192.1
GDPD3	NM_024307.2
GDPD4	NM_182833.1
GDPD5	NM_030792.6
GEM	NM_005261.3
GEMIN2	NM_003616.2
GEMIN4	NM_015721.2
GEMIN5	NM_015465.4
GEMIN6	NM_024775.9
GEMIN7	NM_001007270.1
GEMIN8	NM_001042480
GEN1	NM_182625.3
GET4	NM_015949.2
GFAP	NM_001242376.1
GFER	NM_005262.2
GFI1	NM_001127216.1
GFI1B	NM_004188.4
GFM1	NM_024996.5
GFM2	NM_032380.4
GFOD1	NM_018988.3
GFOD2	NM_030819.3
GFPT1	NM_001244710.1
GFPT2	NM_005110.2
GFRA1	NM_005264.4
GFRA2	NM_001495.4
GFRA3	NM_001496.3
GFRA4	NM_022139.3
GFRAL	NM_207410.2
GGA1	NM_013365.4
GGA2	NM_015044.4
GGA3	NM_138619.2
GGCT	NM_024051.3
GGCX	NM_000821.5
GGH	NM_003878.2
GGN	NM_152657.3
GGNBP2	NM_024835.4
GGPS1	NM_001037277.1
GGT1	NM_013430.2
GGT5	NM_001099781.1
GGT6	NM_001122890.1
GGT7	NM_178026.2
GGTLC1	NM_178311.2
GGTLC2	NM_199127.2
GH1	NM_000515.3
GH2	NM_022557.3
GHDC	NM_032484.4
GHITM	NM_014394.2
GHR	NM_000163.4
GHRH	NM_021081.4
GHRHR	NM_000823.3
GHRL	NM_001134944.1
GHSR	NM_198407.2
GIF	NM_005142.2
GIGYF1	NM_022574.4
GIGYF2	NM_001103146.1
GIMAP1-GIMAP5	NM_001199577
GIMAP2	NM_015660.2
GIMAP4	NM_018326.2
