Chr	Start	End	Strand	Ensembl_geneID	Ensembl_transcriptID	Refseq_transcriptID	Ensembl_proteinID	HUGO	Kinase_domain_Type	Exon_start	Exon_end	AA_start	AA_end	cDNA_start	cDNA_end
5	56179420	56189492	+	ENSG00000095015	ENST00000399503	NM_005921	ENSP00000382423	MAP3K1	PF00069	exon15	exon20	1245	1508	3733	4524
5	57755540	57753014	-	ENSG00000145632	ENST00000274289	NM_006622	ENSP00000274289	PLK2	PF00069	exon1	exon7	83	334	247	1002
5	180047182	180039536	-	ENSG00000037280	ENST00000261937	NM_182925	ENSP00000261937	FLT4	PF07714	exon17	exon26	845	1169	2533	3507
5	176520656	176524368	+	ENSG00000160867	ENST00000292408	NM_213647	ENSP00000292408	FGFR4	PF07714	exon11	exon17	467	743	1399	2229
6	37138578	37141795	+	ENSG00000137193	ENST00000373509	NM_002648	ENSP00000362608	PIM1	PF00069	exon2	exon6	38	290	112	870
6	117641132	117622225	-	ENSG00000047936	ENST00000368508	NM_002944	ENSP00000357494	ROS1	PF07714	exon36	exon42	1947	2215	5839	6645
6	93969099	93956569	-	ENSG00000135333	ENST00000369303	NM_004440	ENSP00000358309	EPHA7	PF07714	exon10	exon15	633	889	1897	2667
6	149997751	149983228	-	ENSG00000131023	ENST00000543571	NM_004690	ENSP00000437550	LATS1	PF00069	exon6	exon8	906	1010	2716	3030
6	150001488	150001027	-	ENSG00000131023	ENST00000543571	NM_004690	ENSP00000437550	LATS1	PF00069	exon5	exon5	706	859	2116	2577
6	112020766	111982996	-	ENSG00000010810	ENST00000538466	NM_153047	ENSP00000440646	FYN	PF07714	exon6	exon11	269	517	805	1551
7	116415138	116436013	+	ENSG00000105976	ENST00000397752	NM_000245	ENSP00000380860	MET	PF07714	exon15	exon21	1078	1336	3232	4008
7	92462601	92244535	-	ENSG00000105810	ENST00000424848	NM_001145306	ENSP00000397087	CDK6	PF00069	exon2	exon8	13	300	37	900
7	140481436	140434562	-	ENSG00000157764	ENST00000288602	NM_004333	ENSP00000288602	BRAF	PF07714	exon11	exon18	458	712	1372	2136
7	55241689	55268055	+	ENSG00000146648	ENST00000275493	NM_005228	ENSP00000275493	EGFR	PF07714	exon18	exon24	713	965	2137	2895
8	38275508	38271466	-	ENSG00000077782	ENST00000425967	NM_001174067	ENSP00000393312	FGFR1	PF07714	exon12	exon18	509	785	1525	2355
8	56866492	56922618	+	ENSG00000254087	ENST00000519728	NM_002350	ENSP00000428924	LYN	PF07714	exon8	exon13	247	496	739	1488
9	27206685	27228273	+	ENSG00000120156	ENST00000380036	NM_000459	ENSP00000369375	TEK	PF07714	exon15	exon22	824	1090	2470	3270
9	93637070	93657843	+	ENSG00000165025	ENST00000375754	NM_003177	ENSP00000364907	SYK	PF07714	exon9	exon14	374	623	1120	1869
9	101900185	101911545	+	ENSG00000106799	ENST00000374994	NM_004612	ENSP00000364133	TGFBR1	PF00069	exon4	exon9	207	490	619	1470
9	5070047	5080664	+	ENSG00000096968	ENST00000381652	NM_004972	ENSP00000371067	JAK2	PF07714	exon12	exon18	546	805	1636	2415
9	5081835	5126752	+	ENSG00000096968	ENST00000381652	NM_004972	ENSP00000371067	JAK2	PF07714	exon19	exon25	849	1120	2545	3360
9	133738324	133755507	+	ENSG00000097007	ENST00000318560	NM_005157	ENSP00000323315	ABL1	PF07714	exon4	exon9	242	492	724	1476
9	87549106	87636301	+	ENSG00000148053	ENST00000376214	NM_006180	ENSP00000365387	NTRK2	PF07714	exon17	exon21	555	822	1663	2466
X	100611917	100604903	-	ENSG00000010671	ENST00000308731	NM_000061	ENSP00000308176	BTK	PF07714	exon14	exon19	402	650	1204	1950
X	47426686	47430730	+	ENSG00000078061	ENST00000377045	NM_001654	ENSP00000366244	ARAF	PF07714	exon10	exon16	311	565	931	1695
