NM_000014.5	A2M
NM_000466.2	PEX1
NM_000474.3	TWIST1
NM_000476.2	AK1
NM_000477.6	ALB
NM_000478.5	ALPL
NM_000479.4	AMH
NM_000480.2	AMPD3
NM_000481.3	AMT
NM_000482.3	APOA4
NM_000483.4	APOC2
NM_000484.3	APP
NM_000485.2	APRT
NM_000486.5	AQP2
NM_000487.5	ARSA
NM_000488.3	SERPINC1
NM_000489.4	ATRX
NM_000490.4	AVP
NM_000491.4	C1QB
NM_000492.3	CFTR
NM_000493.3	COL10A1
NM_000494.3	COL17A1
NM_000495.4	COL4A5
NM_000496.2	CRYBB2
NM_000497.3	CYP11B1
NM_000498.3	CYP11B2
NM_000499.4	CYP1A1
NM_000500.7	CYP21A2
NM_000501.3	ELN
NM_000502.5	EPX
NM_000503.5	EYA1
NM_000504.3	F10
NM_000505.3	F12
NM_000506.4	F2
NM_000507.3	FBP1
NM_000508.4	FGA
NM_000509.5	FGG
NM_000510.2	FSHB
NM_000511.5	FUT2
NM_000512.4	GALNS
NM_000513.2	OPN1MW
NM_000514.3	GDNF
NM_000515.4	GH1
NM_000516.5	GNAS
NM_000517.4	HBA2
NM_000518.4	HBB
NM_000519.3	HBD
NM_000520.5	HEXA
NM_000521.3	HEXB
NM_000522.4	HOXA13
NM_000523.3	HOXD13
NM_000524.3	HTR1A
NM_000525.3	KCNJ11
NM_000526.4	KRT14
NM_000527.4	LDLR
NM_000528.3	MAN2B1
NM_000529.2	MC2R
NM_000530.7	MPZ
NM_000531.5	OTC
NM_000532.4	PCCB
NM_000533.4	PLP1
NM_000534.4	PMS1
NM_000535.6	PMS2
NM_000536.3	RAG2
NM_000537.3	REN
NM_000538.3	RFXAP
NM_000539.3	RHO
NM_000540.2	RYR1
NM_000541.4	SAG
NM_000542.3	SFTPB
NM_000543.4	SMPD1
NM_000544.3	TAP2
NM_000545.6	HNF1A
NM_000546.5	TP53
NM_000547.5	TPO
NM_000548.4	TSC2
NM_000549.4	TSHB
NM_000550.2	TYRP1
NM_000551.3	VHL
NM_000552.4	VWF
NM_000553.4	WRN
NM_000554.5	CRX
NM_000555.3	DCX
NM_000557.4	GDF5
NM_000558.4	HBA1
NM_000559.2	HBG1
NM_000560.3	CD53
NM_000561.3	GSTM1
NM_000562.2	C8A
NM_000564.4	IL5RA
NM_000565.3	IL6R
NM_000566.3	FCGR1A
NM_000567.2	CRP
NM_000569.7	FCGR3A
NM_000570.4	FCGR3B
NM_000572.2	IL10
NM_000573.3	CR1
NM_000574.4	CD55
NM_000575.4	IL1A
NM_000576.2	IL1B
NM_000577.4	IL1RN
NM_000578.3	SLC11A1
NM_000579.3	CCR5
NM_000581.3	GPX1
NM_000582.2	SPP1
NM_000583.3	GC
NM_000584.3	CXCL8
NM_000585.4	IL15
NM_000586.3	IL2
NM_000587.3	C7
NM_000588.3	IL3
NM_000589.3	IL4
NM_000590.1	IL9
NM_000591.3	CD14
NM_000593.5	TAP1
NM_000594.3	TNF
NM_000595.3	LTA
NM_000596.2	IGFBP1
NM_000597.2	IGFBP2
NM_000598.4	IGFBP3
NM_000599.3	IGFBP5
NM_000600.4	IL6
NM_000601.5	HGF
NM_000602.4	SERPINE1
NM_000603.4	NOS3
NM_000605.3	IFNA2
NM_000606.2	C8G
NM_000607.2	ORM1
NM_000608.2	ORM2
NM_000609.6	CXCL12
NM_000610.3	CD44
NM_000611.5	CD59
NM_000612.5	IGF2
NM_000613.2	HPX
NM_000614.3	CNTF
NM_000615.6	NCAM1
NM_000616.4	CD4
NM_000617.2	SLC11A2
NM_000618.4	IGF1
NM_000619.2	IFNG
NM_000620.4	NOS1
NM_000621.4	HTR2A
NM_000623.3	BDKRB2
NM_000624.5	SERPINA5
NM_000625.4	NOS2
NM_000626.3	CD79B
NM_000627.3	LTBP1
NM_000628.4	IL10RB
NM_000629.2	IFNAR1
NM_000631.4	NCF4
NM_000632.3	ITGAM
NM_000633.2	BCL2
NM_000634.2	CXCR1
NM_000635.3	RFX2
NM_000636.3	SOD2
NM_000637.3	GSR
NM_000638.3	VTN
NM_000639.2	FASLG
NM_000640.2	IL13RA2
NM_000641.3	IL11
NM_000642.2	AGL
NM_000643.2	AGL
NM_000644.2	AGL
NM_000646.2	AGL
NM_000651.4	CR1
NM_000655.4	SELL
NM_000657.2	BCL2
NM_000660.6	TGFB1
NM_000661.4	RPL9
NM_000662.7	NAT1
NM_000663.4	ABAT
NM_000665.4	ACHE
NM_000666.2	ACY1
NM_000667.3	ADH1A
NM_000668.5	ADH1B
NM_000669.4	ADH1C
NM_000670.4	ADH4
NM_000671.4	ADH5
NM_000672.3	ADH6
NM_000673.4	ADH7
NM_000674.2	ADORA1
NM_000675.5	ADORA2A
NM_000676.2	ADORA2B
NM_000677.3	ADORA3
NM_000678.3	ADRA1D
NM_000679.3	ADRA1B
NM_000680.3	ADRA1A
NM_000681.3	ADRA2A
NM_000682.6	ADRA2B
NM_000683.3	ADRA2C
NM_000684.2	ADRB1
NM_000685.4	AGTR1
NM_000686.4	AGTR2
NM_000687.3	AHCY
NM_000688.5	ALAS1
NM_000689.4	ALDH1A1
NM_000690.3	ALDH2
NM_000691.4	ALDH3A1
NM_000692.4	ALDH1B1
NM_000693.3	ALDH1A3
NM_000694.3	ALDH3B1
NM_000695.3	ALDH3B2
NM_000696.3	ALDH9A1
NM_000697.2	ALOX12
NM_000698.4	ALOX5
NM_000699.3	AMY2A
NM_000700.2	ANXA1
NM_000701.7	ATP1A1
NM_000702.3	ATP1A2
NM_000704.2	ATP4A
NM_000705.3	ATP4B
NM_000706.4	AVPR1A
NM_000707.3	AVPR1B
NM_000709.3	BCKDHA
NM_000710.3	BDKRB1
NM_000712.3	BLVRA
NM_000713.2	BLVRB
NM_000714.5	TSPO
NM_000715.3	C4BPA
NM_000716.3	C4BPB
NM_000717.4	CA4
NM_000718.3	CACNA1B
NM_000719.6	CACNA1C
NM_000720.3	CACNA1D
NM_000721.3	CACNA1E
NM_000722.3	CACNA2D1
NM_000723.4	CACNB1
NM_000724.3	CACNB2
NM_000725.3	CACNB3
NM_000726.4	CACNB4
NM_000727.3	CACNG1
NM_000728.3	CALCB
NM_000729.5	CCK
NM_000730.2	CCKAR
NM_000732.4	CD3D
NM_000733.3	CD3E
NM_000734.3	CD247
NM_000735.3	CGA
NM_000737.3	CGB3
NM_000738.2	CHRM1
NM_000739.2	CHRM2
NM_000740.3	CHRM3
NM_000741.3	CHRM4
NM_000742.3	CHRNA2
NM_000743.4	CHRNA3
NM_000744.6	CHRNA4
NM_000745.3	CHRNA5
NM_000746.5	CHRNA7
NM_000747.2	CHRNB1
NM_000748.2	CHRNB2
NM_000749.4	CHRNB3
NM_000750.3	CHRNB4
NM_000751.2	CHRND
NM_000754.3	COMT
NM_000755.4	CRAT
NM_000756.3	CRH
NM_000757.5	CSF1
NM_000758.3	CSF2
NM_000759.3	CSF3
NM_000760.3	CSF3R
NM_000761.4	CYP1A2
NM_000762.5	CYP2A6
NM_000764.2	CYP2A7
NM_000765.4	CYP3A7
NM_000766.4	CYP2A13
NM_000767.4	CYP2B6
NM_000769.2	CYP2C19
NM_000770.3	CYP2C8
NM_000771.3	CYP2C9
NM_000772.2	CYP2C18
NM_000773.3	CYP2E1
NM_000774.4	CYP2F1
NM_000775.3	CYP2J2
NM_000777.4	CYP3A5
NM_000778.3	CYP4A11
NM_000779.3	CYP4B1
NM_000780.3	CYP7A1
NM_000781.2	CYP11A1
NM_000782.4	CYP24A1
NM_000783.3	CYP26A1
NM_000784.3	CYP27A1
NM_000785.3	CYP27B1
NM_000786.3	CYP51A1
NM_000787.3	DBH
NM_000788.2	DCK
NM_000789.3	ACE
NM_000790.3	DDC
NM_000791.3	DHFR
NM_000792.6	DIO1
NM_000793.5	DIO2
NM_000794.3	DRD1
NM_000795.3	DRD2
NM_000796.5	DRD3
NM_000797.3	DRD4
NM_000798.4	DRD5
NM_000799.2	EPO
NM_000800.4	FGF1
NM_000801.4	FKBP1A
NM_000802.3	FOLR1
NM_000803.4	FOLR2
NM_000804.3	FOLR3
NM_000805.4	GAST
NM_000806.5	GABRA1
NM_000807.3	GABRA2
NM_000808.3	GABRA3
NM_000809.3	GABRA4
NM_000810.3	GABRA5
NM_000811.2	GABRA6
NM_000812.3	GABRB1
NM_000813.2	GABRB2
NM_000814.5	GABRB3
NM_000815.4	GABRD
NM_000816.3	GABRG2
NM_000817.2	GAD1
NM_000818.2	GAD2
NM_000819.4	GART
NM_000820.3	GAS6
NM_000821.6	GGCX
NM_000823.3	GHRHR
NM_000824.4	GLRB
NM_000826.3	GRIA2
NM_000827.3	GRIA1
NM_000828.4	GRIA3
NM_000829.3	GRIA4
NM_000830.4	GRIK1
NM_000831.3	GRIK3
NM_000832.6	GRIN1
NM_000833.4	GRIN2A
NM_000834.3	GRIN2B
NM_000835.4	GRIN2C
NM_000836.2	GRIN2D
NM_000837.1	GRINA
NM_000839.3	GRM2
NM_000840.2	GRM3
NM_000841.3	GRM4
NM_000842.4	GRM5
NM_000843.3	GRM6
NM_000844.3	GRM7
NM_000845.2	GRM8
NM_000846.4	GSTA2
NM_000847.4	GSTA3
NM_000848.3	GSTM2
NM_000849.4	GSTM3
NM_000850.4	GSTM4
NM_000851.3	GSTM5
NM_000852.3	GSTP1
NM_000853.3	GSTT1
NM_000855.2	GUCY1A2
NM_000856.5	GUCY1A3
NM_000857.3	GUCY1B3
NM_000858.5	GUK1
NM_000859.2	HMGCR
NM_000860.5	HPGD
NM_000861.3	HRH1
NM_000862.2	HSD3B1
NM_000863.2	HTR1B
NM_000864.4	HTR1D
NM_000865.2	HTR1E
NM_000866.4	HTR1F
NM_000867.4	HTR2B
NM_000868.3	HTR2C
NM_000869.5	HTR3A
NM_000870.6	HTR4
NM_000871.2	HTR6
NM_000872.4	HTR7
NM_000873.3	ICAM2
NM_000874.4	IFNAR2
NM_000875.4	IGF1R
NM_000876.3	IGF2R
NM_000877.3	IL1R1
NM_000878.4	IL2RB
NM_000879.2	IL5
NM_000880.3	IL7
NM_000882.3	IL12A
NM_000883.3	IMPDH1
NM_000884.2	IMPDH2
NM_000885.5	ITGA4
NM_000887.4	ITGAX
NM_000888.4	ITGB6
NM_000889.2	ITGB7
NM_000890.3	KCNJ5
NM_000891.2	KCNJ2
NM_000892.4	KLKB1
NM_000893.3	KNG1
NM_000894.2	LHB
NM_000895.2	LTA4H
NM_000896.2	CYP4F3
NM_000898.4	MAOB
NM_000899.4	KITLG
NM_000900.4	MGP
NM_000902.3	MME
NM_000903.2	NQO1
NM_000904.4	NQO2
NM_000905.3	NPY
NM_000906.3	NPR1
NM_000908.3	NPR3
NM_000909.5	NPY1R
NM_000910.3	NPY2R
NM_000911.3	OPRD1
NM_000912.4	OPRK1
NM_000913.5	OPRL1
NM_000914.4	OPRM1
NM_000915.3	OXT
NM_000916.3	OXTR
NM_000917.3	P4HA1
NM_000918.3	P4HB
NM_000919.3	PAM
NM_000920.3	PC
NM_000921.4	PDE3A
NM_000922.3	PDE3B
NM_000923.5	PDE4C
NM_000924.3	PDE1B
NM_000925.3	PDHB
NM_000926.4	PGR
NM_000927.4	ABCB1
NM_000928.2	PLA2G1B
NM_000929.2	PLA2G5
NM_000930.4	PLAT
NM_000932.2	PLCB3
NM_000933.3	PLCB4
NM_000934.3	SERPINF2
NM_000935.2	PLOD2
NM_000936.3	PNLIP
NM_000937.4	POLR2A
NM_000938.2	POLR2B
NM_000939.3	POMC
NM_000940.2	PON3
NM_000941.2	POR
NM_000942.4	PPIB
NM_000943.4	PPIC
NM_000944.4	PPP3CA
NM_000945.3	PPP3R1
NM_000946.2	PRIM1
NM_000947.4	PRIM2
NM_000948.5	PRL
NM_000949.6	PRLR
NM_000950.2	PRRG1
NM_000951.2	PRRG2
NM_000952.4	PTAFR
NM_000953.2	PTGDR
NM_000954.5	PTGDS
NM_000955.2	PTGER1
NM_000956.3	PTGER2
NM_000958.2	PTGER4
NM_000959.3	PTGFR
NM_000960.3	PTGIR
NM_000961.3	PTGIS
NM_000962.3	PTGS1
NM_000963.3	PTGS2
NM_000964.3	RARA
NM_000965.4	RARB
NM_000966.5	RARG
NM_000967.3	RPL3
NM_000968.3	RPL4
NM_000969.3	RPL5
NM_000970.4	RPL6
NM_000971.3	RPL7
NM_000972.2	RPL7A
NM_000973.4	RPL8
NM_000975.3	RPL11
NM_000976.3	RPL12
NM_000977.3	RPL13
NM_000978.3	RPL23
NM_000979.3	RPL18
NM_000980.3	RPL18A
NM_000981.3	RPL19
NM_000982.3	RPL21
NM_000983.3	RPL22
NM_000984.5	RPL23A
NM_000985.4	RPL17
NM_000986.3	RPL24
NM_000987.3	RPL26
NM_000988.3	RPL27
NM_000989.3	RPL30
NM_000990.4	RPL27A
NM_000991.4	RPL28
NM_000992.2	RPL29
NM_000993.4	RPL31
NM_000994.3	RPL32
NM_000995.4	RPL34
NM_000996.2	RPL35A
NM_000997.4	RPL37
NM_000998.4	RPL37A
NM_000999.3	RPL38
NM_001000.3	RPL39
NM_001001.4	RPL36AL
NM_001001132.1	ITSN1
NM_001001290.1	SLC2A9
NM_001001317.4	PRSS58
NM_001001323.1	ATP2B1
NM_001001325.2	SPINK14
NM_001001329.2	PRKCSH
NM_001001330.2	REEP3
NM_001001331.2	ATP2B2
NM_001001342.2	BLOC1S2
NM_001001343.3	FNDC9
NM_001001344.2	ATP2B3
NM_001001346.3	CLDN20
NM_001001349.2	NKIRAS2
NM_001001389.1	CD44
NM_001001390.1	CD44
NM_001001391.1	CD44
NM_001001392.1	CD44
NM_001001394.3	DNAJB3
NM_001001395.2	LMO3
NM_001001396.2	ATP2B4
NM_001001410.2	TSR3
NM_001001411.2	ZNF676
NM_001001412.3	CALHM1
NM_001001413.3	GOLGA6L1
NM_001001414.1	NCCRP1
NM_001001415.3	ZNF429
NM_001001417.6	TBC1D3B
NM_001001418.6	TBC1D3C
NM_001001419.2	SMAD5
NM_001001420.2	SMAD5
NM_001001430.2	TNNT2
NM_001001431.2	TNNT2
NM_001001432.2	TNNT2
NM_001001433.2	STX16
NM_001001436.2	C16orf87
NM_001001437.3	CCL3L3
NM_001001438.2	LSS
NM_001001479.3	SLC35E4
NM_001001480.2	KRTAP5-5
NM_001001481.2	UBE2W
NM_001001483.2	ZDHHC13
NM_001001484.2	PTER
NM_001001485.2	ATP2C1
NM_001001486.1	ATP2C1
NM_001001487.1	ATP2C1
NM_001001502.2	SNCB
NM_001001503.1	NDUFV3
NM_001001520.2	HDGFRP2
NM_001001521.1	UGP2
NM_001001522.1	TAGLN
NM_001001523.1	RORC
NM_001001524.2	TM6SF2
NM_001001547.2	CD36
NM_001001548.2	CD36
NM_001001549.2	GRB10
NM_001001550.2	GRB10
NM_001001551.3	IDNK
NM_001001552.4	LEMD1
NM_001001555.2	GRB10
NM_001001556.2	GALK2
NM_001001557.3	GDF6
NM_001001560.2	GGA1
NM_001001563.3	TIMM50
NM_001001567.1	PDE9A
NM_001001568.1	PDE9A
NM_001001569.1	PDE9A
NM_001001570.1	PDE9A
NM_001001571.1	PDE9A
NM_001001572.1	PDE9A
NM_001001573.1	PDE9A
NM_001001574.1	PDE9A
NM_001001575.1	PDE9A
NM_001001576.1	PDE9A
NM_001001577.1	PDE9A
NM_001001578.1	PDE9A
NM_001001579.1	PDE9A
NM_001001580.1	PDE9A
NM_001001581.1	PDE9A
NM_001001582.1	PDE9A
NM_001001583.1	PDE9A
NM_001001584.2	PDE9A
NM_001001585.1	PDE9A
NM_001001653.2	MED8
NM_001001655.2	ALKBH2
NM_001001656.1	OR9A4
NM_001001657.1	OR2Y1
NM_001001658.1	OR9A2
NM_001001659.1	OR2A14
NM_001001660.2	ETFRF1
NM_001001661.2	ZNF425
NM_001001662.2	ZNF782
NM_001001663.1	TMEM211
NM_001001664.2	SPOPL
NM_001001665.3	CYP27C1
NM_001001666.3	ANO7
NM_001001667.1	OR6V1
NM_001001668.3	ZNF470
NM_001001669.2	ARHGEF37
NM_001001670.2	SPATA31D1
NM_001001671.3	MAP3K15
NM_001001673.3	RNASE9
NM_001001674.1	OR4F15
NM_001001676.1	LCN9
NM_001001683.3	MED11
NM_001001694.2	IL17REL
NM_001001701.3	C4orf3
NM_001001709.2	C9orf170
NM_001001710.2	FAM166A
NM_001001711.2	DDI1
NM_001001712.2	LCN10
